Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code,,CDL_Category,CDL_Value,Modified_CDL_Category,
Corn,CROPLAND,Corn,,,,,,,,1,,Corn,1,,Corn
Cotton,CROPLAND,Cotton,,,,,,,,1,,Cotton,2,,Cotton
Rice,CROPLAND,Rice,,,,,,,,1,,Rice,3,,Rice
Sorghum,CROPLAND,Sorghum,,,,,,,,1,,Sorghum,4,,Sorghum
Soybeans,CROPLAND,Soybeans,,,,,,,,1,,Soybeans,5,,Soybeans
Sunflower,CROPLAND,Sunflower,,,,,,,,1,,Sunflower,6,,Sunflower
Peanuts,CROPLAND,Peanuts,,,,,,,,1,,Peanuts,10,,Peanuts
Tobacco,CROPLAND,Tobacco,,,,,,,,1,,Tobacco,11,,Tobacco
Sweet_Corn,CROPLAND,Sweet_Corn,,,,,,,,1,,Sweet Corn,12,,Sweet_Corn
Pop_or_Orn_Corn,CROPLAND,Pop_or_Orn_Corn,,,,,,,,1,,Pop or Orn Corn,13,,Pop_or_Orn_Corn
Mint,CROPLAND,Mint,,,,,,,,1,,Mint,14,,Mint
Barley,CROPLAND,Barley,,,,,,,,1,,Barley,21,,Barley
Durum_Wheat,CROPLAND,Durum_Wheat,,,,,,,,1,,Durum Wheat,22,,Durum_Wheat
Spring_Wheat,CROPLAND,Spring_Wheat,,,,,,,,1,,Spring Wheat,23,,Spring_Wheat
Winter_Wheat,CROPLAND,Winter_Wheat,,,,,,,,1,,Winter Wheat,24,,Winter_Wheat
Other_Small_Grains,CROPLAND,Other_Small_Grains,,,,,,,,1,,Other Small Grains,25,,Other_Small_Grains
Dbl_Crop_WinWht_Soybeans,CROPLAND,Dbl_Crop_WinWht_Soybeans,,,,,,,,1,,Dbl Crop WinWht/Soybeans,26,,Dbl_Crop_WinWht_Soybeans
Rye,CROPLAND,Rye,,,,,,,,1,,Rye,27,,Rye
Oats,CROPLAND,Oats,,,,,,,,1,,Oats,28,,Oats
Millet,CROPLAND,Millet,,,,,,,,1,,Millet,29,,Millet
Speltz,CROPLAND,Speltz,,,,,,,,1,,Speltz,30,,Speltz
Canola,CROPLAND,Canola,,,,,,,,1,,Canola,31,,Canola
Flaxseed,CROPLAND,Flaxseed,,,,,,,,1,,Flaxseed,32,,Flaxseed
Safflower,CROPLAND,Safflower,,,,,,,,1,,Safflower,33,,Safflower
Rape_Seed,CROPLAND,Rape_Seed,,,,,,,,1,,Rape Seed,34,,Rape_Seed
Mustard,CROPLAND,Mustard,,,,,,,,1,,Mustard,35,,Mustard
Alfalfa,CROPLAND,Alfalfa,,,,,,,,1,,Alfalfa,36,,Alfalfa
