Value,Class_Name,Count2021,Src_Year,Value1,RGB_R,RGB_G,RGB_B,Comments
0,Background,0,2021,0,0,0,0,"Added 0 so the background presents as null, not black"
1,Corn,427057895,2021,1,255,211,0,
2,Cotton,57641094,2021,2,255,37,37,
3,Rice,12260890,2021,3,0,168,226,
4,Sorghum,40371933,2021,4,255,158,9,
5,Soybeans,400085119,2021,5,37,111,0,
6,Sunflower,5008202,2021,6,255,255,0,
7,,0,,7,,,,
8,,0,,8,,,,
9,,0,,9,,,,
10,Peanuts,7408324,2021,10,111,166,0,
11,Tobacco,570134,2021,11,0,175,73,
12,Sweet_Corn,1333094,2021,12,222,166,9,
13,Pop_or_Orn_Corn,848914,2021,13,222,166,9,
14,Mint,276064,2021,14,124,211,255,Extracted RGB from 2021
15,,0,,15,,,,
16,,0,,16,,,,
17,,0,,17,,,,
18,,0,,18,,,,
19,,0,,19,,,,
20,,0,,20,,,,
21,Barley,10788781,2021,21,226,0,124,
22,Durum_Wheat,6761005,2021,22,137,96,83,Extracted RGB from 2021
23,Spring_Wheat,61717161,2021,23,217,181,107,Extracted RGB from 2021
24,Winter_Wheat,134706541,2021,24,166,111,0,
25,Other_Small_Grains,62659,2021,25,213,158,188,Extracted RGB from 2021
26,Dbl_Crop_WinWht_Soybeans,16771287,2021,26,111,111,0,
27,Rye,3248055,2021,27,171,0,124,
28,Oats,7615238,2021,28,160,88,137,
29,Millet,4805007,2021,29,111,0,73,
30,Speltz,34901,2021,30,213,158,188,Extracted RGB from 2021
31,Canola,9450296,2021,31,209,255,0,
32,Flaxseed,1380581,2021,32,124,153,255,Extracted RGB from 2021
33,Safflower,827802,2021,33,213,213,1,Extracted RGB from 2021
34,Rape_Seed,8658,2021,34,209,255,0,
35,Mustard,381752,2021,35,0,175,73,Extracted RGB from 2021
36,Alfalfa,94134601,2021,36,255,166,226,
37,Other_Hay_Non_Alfalfa,119317628,2021,37,166,241,139,
38,Camelina,56252,2021,38,0,175,73,Extracted RGB from 2021
39,Buckwheat,84493,2021,39,213,158,188,Extracted RGB from 2021
40,,0,,40,,,,
41,Sugarbeets,5157665,2021,41,168,0,226,Extracted RGB from 2021
42,Dry_Beans,6322126,2021,42,166,0,0,
43,Potatoes,4712402,2021,43,111,37,0,
44,Other_Crops,308306,2021,44,0,175,73,
45,Sugarcane,5119890,2021,45,175,124,255,
46,Sweet_Potatoes,582859,2021,46,111,37,0,
47,Misc_Vegs_Fruits,39758,2021,47,255,102,102,
48,Watermelons,187327,2021,48,255,102,102,
49,Onions,690720,2021,49,225,204,102,Extracted RGB from 2021
50,Cucumbers,236554,2021,50,255,102,102,
51,Chick_Peas,1848615,2021,51,0,175,73,Extracted RGB from 2021
52,Lentils,3491128,2021,52,0,222,175,Extracted RGB from 2021
53,Peas,4995666,2021,53,83,255,0,
54,Tomatoes,1249981,2021,54,241,162,120,
55,Caneberries,63386,2021,55,255,102,102,Extracted RGB from 2021
