CDL_Value,CDL_Category,Modified_CDL_Category,Field_ID,Landuse_Type_ID,Mgmt_Schd_ID
1,Corn,Corn,Corn,CROPLAND,Corn
2,Cotton,Cotton,Cotton,CROPLAND,Cotton
3,Rice,Rice,Rice,CROPLAND,Rice
4,Sorghum,Sorghum,Sorghum,CROPLAND,Sorghum
5,Soybeans,Soybeans,Soybeans,CROPLAND,Soybeans
6,Sunflower,Sunflower,Sunflower,CROPLAND,Sunflower
10,Peanuts,Peanuts,Peanuts,CROPLAND,Peanuts
11,Tobacco,Tobacco,Tobacco,CROPLAND,Tobacco
12,Sweet Corn,Sweet_Corn,Sweet_Corn,CROPLAND,Sweet_Corn
13,Pop or Orn Corn,Pop_or_Orn_Corn,Pop_or_Orn_Corn,CROPLAND,Pop_or_Orn_Corn
14,Mint,Mint,Mint,CROPLAND,Mint
21,Barley,Barley,Barley,CROPLAND,Barley
22,Durum Wheat,Durum_Wheat,Durum_Wheat,CROPLAND,Durum_Wheat
23,Spring Wheat,Spring_Wheat,Spring_Wheat,CROPLAND,Spring_Wheat
24,Winter Wheat,Winter_Wheat,Winter_Wheat,CROPLAND,Winter_Wheat
25,Other Small Grains,Other_Small_Grains,Other_Small_Grains,CROPLAND,Other_Small_Grains
26,Dbl Crop WinWht/Soybeans,Dbl_Crop_WinWht_Soybeans,Dbl_Crop_WinWht_Soybeans,CROPLAND,Dbl_Crop_WinWht_Soybeans
27,Rye,Rye,Rye,CROPLAND,Rye
28,Oats,Oats,Oats,CROPLAND,Oats
29,Millet,Millet,Millet,CROPLAND,Millet
30,Speltz,Speltz,Speltz,CROPLAND,Speltz
31,Canola,Canola,Canola,CROPLAND,Canola
32,Flaxseed,Flaxseed,Flaxseed,CROPLAND,Flaxseed
33,Safflower,Safflower,Safflower,CROPLAND,Safflower
34,Rape Seed,Rape_Seed,Rape_Seed,CROPLAND,Rape_Seed
35,Mustard,Mustard,Mustard,CROPLAND,Mustard
36,Alfalfa,Alfalfa,Alfalfa,CROPLAND,Alfalfa
37,Other Hay/Non Alfalfa,Other_Hay_Non_Alfalfa,Other_Hay_Non_Alfalfa,CROPLAND,Other_Hay_Non_Alfalfa
38,Camelina,Camelina,Camelina,CROPLAND,Camelina
39,Buckwheat,Buckwheat,Buckwheat,CROPLAND,Buckwheat
41,Sugarbeets,Sugarbeets,Sugarbeets,CROPLAND,Sugarbeets
42,Dry Beans,Dry_Beans,Dry_Beans,CROPLAND,Dry_Beans
43,Potatoes,Potatoes,Potatoes,CROPLAND,Potatoes
44,Other Crops,Other_Crops,Other_Crops,CROPLAND,Other_Crops
45,Sugarcane,Sugarcane,Sugarcane,CROPLAND,Sugarcane
46,Sweet Potatoes,Sweet_Potatoes,Sweet_Potatoes,CROPLAND,Sweet_Potatoes
