Crop_ID,Yield_Units_Harvested,Residue_Mass_Ratio,Surface_Decomp,Sub-surface_Decomp,'USLE_C_Fctr,Moisture_Depletion,Residue_Adjust_Amt,Crop_Residue_30%,Crop_Residue_60%,Crop_Residue_90%,Annual_Crop_Code,Legume_Code,Senescence_Code,Yield_Unit_Name,Yield_Unit_Mass,Harvest_C-N_Ratio,Pre-Harvest_C-N_Ratio,Harvest_Water,N_Uptake,P_Uptake,Harvest_C-P_Ratio,Pre-Harvest_C-P_Ratio,Growth_Time_Ini,Growth_Time_Dev,Growth_Time_Mat,Growth_Time_Sen,Growth_N_Uptake_Ini,Growth_N_Uptake_Dev,Growth_N_Uptake_Mat,Growth_N_Uptake_Sen,Growth_P_Uptake_Ini,Growth_P_Uptake_Dev,Growth_P_Uptake_Mat,Growth_P_Uptake_Sen,Basal_Crop_Coef_Ini,Basal_Crop_Coef_Dev,Basal_Crop_Coef_Mid,Basal_Crop_Coef_End,Basal_Crop_Coef_Climate_Adjust,Input_Units_Code
artichoke;_perennia3,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,boxes,22,,,,,,,,,,,,,,,,,,,,,,,,,0
artichoke;_perennia2,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,boxes,22,,,,,,,,,,,,,,,,,,,,,,,,,0
artichoke;_perennia1,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,boxes,22,,,,,,,,,,,,,,,,,,,,,,,,,0
artichoke;_annual,450,0.18181818,0.02,0.02,,,,1050,2700,6750,,,,box,22,,,,,,,,,,,,,,,,,,,,,,,,,0
asparagus;_yr1_and_2,500,1,0.016,0.016,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
asparagus;_yr3+__hi_,3300,0.91,0.016,0.016,,,,600,1550,3850,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
brocolli;_hi_prod,15000,0.19171428,0.02,0.02,,,,1050,2700,6750,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
rye;_winter_cover_s.,4200,1,0.017,0.017,,,,600,1550,3850,,,,pounds,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cabbage;_hi_prod,39000,0.10923076,0.02,0.02,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
cauliflower;_hi_prod,18300,1.10819672,0.02,0.02,,,,1050,2700,6750,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
celery;_hi_prod,6900,1.03043478,0.03013683,0.03013683,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lettuce;_leaf_hi_pro,25200,0.11035714,0.03013683,0.03013683,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
lettuce;_head_hi_pro,35300,0.10934844,0.03013683,0.03013683,,,,500,1500,3500,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mustard_greens;_hi_p,16250,0.11323076,0.016,0.016,,,,600,1600,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
mustard_greens;_fall,7400,0.11405405,0.03,0.03,,,,600,1600,4000,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
ryegrass;_ann;_seed1,1775,4.2,0.017,0.017,,,,640,1650,4100,,,,lbs,1,,,,,,,,,,,,,,,,,,,,,,,,,0
