Crop_Growth_ID,Root_Mass,Canopy_Cover,Rain_Fall_Height,Input_Units_Code
artichoke;_perennia3,15,0.02,0.1,0
artichoke;_perennia3,25,0.05,0.1,0
artichoke;_perennia3,50,0.1,0.2,0
artichoke;_perennia3,110,0.15,0.3,0
artichoke;_perennia3,200,0.2,0.4,0
artichoke;_perennia3,320,0.3,0.7,0
artichoke;_perennia3,500,0.35,1,0
artichoke;_perennia3,550,0.4,1.2,0
artichoke;_perennia3,600,0.7,1.5,0
artichoke;_perennia3,600,0.75,1.5,0
artichoke;_perennia3,600,0.75,1.5,0
artichoke;_perennia3,600,0.75,1.5,0
artichoke;_perennia3,600,0.75,1.5,0
artichoke;_perennia3,600,0.75,1.5,0
artichoke;_perennia3,590,0.7,1.5,0
artichoke;_perennia3,580,0.7,1.5,0
artichoke;_perennia3,570,0.7,1.5,0
artichoke;_perennia3,560,0.7,1.5,0
artichoke;_perennia3,540,0.65,1.5,0
artichoke;_perennia3,540,0.65,1.5,0
artichoke;_perennia3,520,0.65,1.5,0
artichoke;_perennia3,500,0.65,1.5,0
artichoke;_perennia3,100,0.65,1.5,0
artichoke;_perennia3,100,0.65,1.5,0
artichoke;_perennia2,110,0.15,0.3,0
artichoke;_perennia2,200,0.2,0.4,0
artichoke;_perennia2,320,0.3,0.7,0
artichoke;_perennia2,500,0.35,1,0
artichoke;_perennia2,550,0.4,1.2,0
artichoke;_perennia2,600,0.7,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,600,0.75,1.5,0
artichoke;_perennia2,590,0.7,1.5,0
artichoke;_perennia2,580,0.7,1.5,0
artichoke;_perennia2,570,0.7,1.5,0
artichoke;_perennia2,560,0.7,1.5,0
artichoke;_perennia2,540,0.65,1.5,0
artichoke;_perennia2,540,0.65,1.5,0
artichoke;_perennia2,520,0.65,1.5,0
artichoke;_perennia2,500,0.65,1.5,0
artichoke;_perennia2,100,0.65,1.5,0
artichoke;_perennia2,100,0.65,1.5,0
artichoke;_perennia1,15,0.02,0.1,0
artichoke;_perennia1,25,0.05,0.1,0
artichoke;_perennia1,50,0.1,0.2,0
artichoke;_perennia1,110,0.15,0.3,0
artichoke;_perennia1,200,0.2,0.4,0
artichoke;_perennia1,320,0.3,0.7,0
artichoke;_perennia1,500,0.35,1,0
artichoke;_perennia1,550,0.4,1.2,0
artichoke;_perennia1,600,0.7,1.5,0
artichoke;_perennia1,600,0.75,1.5,0
artichoke;_perennia1,600,0.75,1.5,0
artichoke;_perennia1,600,0.75,1.5,0
artichoke;_perennia1,600,0.75,1.5,0
artichoke;_perennia1,600,0.75,1.5,0
artichoke;_perennia1,590,0.7,1.5,0
artichoke;_perennia1,580,0.7,1.5,0
artichoke;_perennia1,570,0.7,1.5,0
artichoke;_perennia1,560,0.7,1.5,0
artichoke;_perennia1,540,0.65,1.5,0
artichoke;_perennia1,540,0.65,1.5,0
artichoke;_perennia1,520,0.65,1.5,0
artichoke;_perennia1,500,0.65,1.5,0
artichoke;_perennia1,100,0.65,1.5,0
artichoke;_perennia1,100,0.65,1.5,0
artichoke;_annual,10,0.01,0.1,0
artichoke;_annual,20,0.02,0.1,0
artichoke;_annual,50,0.05,0.3,0
artichoke;_annual,110,0.15,0.5,0
artichoke;_annual,200,0.25,0.5,0
artichoke;_annual,320,0.35,0.7,0
artichoke;_annual,500,0.45,1,0
artichoke;_annual,550,0.6,1.2,0
artichoke;_annual,600,0.75,1.5,0
artichoke;_annual,600,0.85,1.5,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
artichoke;_annual,0,0,0,0
asparagus;_yr1_and_2,170,0,0,0
asparagus;_yr1_and_2,170,0.05,0.1,0
asparagus;_yr1_and_2,170,0.05,0.1,0
asparagus;_yr1_and_2,170,0.05,0.1,0
asparagus;_yr1_and_2,175,0.5,0.2,0
asparagus;_yr1_and_2,180,0.75,0.3,0
asparagus;_yr1_and_2,180,0.8,3.5,0
asparagus;_yr1_and_2,190,0.95,3.7,0
asparagus;_yr1_and_2,190,0.9,3.5,0
asparagus;_yr1_and_2,195,0.85,3.5,0
asparagus;_yr1_and_2,200,0.85,3.3,0
asparagus;_yr1_and_2,200,0.8,3,0
asparagus;_yr1_and_2,200,0.7,2.9,0
asparagus;_yr1_and_2,200,0.65,2.7,0
asparagus;_yr1_and_2,200,0.6,2.7,0
asparagus;_yr1_and_2,200,0.5,2.5,0
asparagus;_yr1_and_2,200,0.5,2.5,0
asparagus;_yr1_and_2,200,0.45,2.5,0
asparagus;_yr1_and_2,200,0.45,2.5,0
asparagus;_yr1_and_2,200,0.4,2.4,0
asparagus;_yr1_and_2,200,0.4,2.3,0
asparagus;_yr1_and_2,0,0,0,0
asparagus;_yr1_and_2,0,0,0,0
asparagus;_yr1_and_2,0,0,0,0
asparagus;_yr3+__hi_,140,0.011,0.10337,0
asparagus;_yr3+__hi_,140,0.054,0.2,0
asparagus;_yr3+__hi_,150,0.109,0.3,0
asparagus;_yr3+__hi_,150,0.109,0.4,0
asparagus;_yr3+__hi_,150,0.1,0.4,0
asparagus;_yr3+__hi_,150,0.1,0.4,0
asparagus;_yr3+__hi_,150,0.1,0.4,0
asparagus;_yr3+__hi_,150,0.011,0.10337,0
asparagus;_yr3+__hi_,165.231,0.2,0.8,0
asparagus;_yr3+__hi_,175,0.4,1.55054,0
asparagus;_yr3+__hi_,190,0.5,2.8,0
asparagus;_yr3+__hi_,210,0.652,3.10109,0
asparagus;_yr3+__hi_,240,0.85,3.6,0
asparagus;_yr3+__hi_,240,0.85,3.6,0
asparagus;_yr3+__hi_,140,0.1,0.4,0
asparagus;_yr3+__hi_,140,0.1,0.4,0
asparagus;_yr3+__hi_,140,0.1,0.4,0
asparagus;_yr3+__hi_,140,0.1,0.4,0
asparagus;_yr3+__hi_,140,0.054,0.4,0
asparagus;_yr3+__hi_,140,0.054,0.4,0
asparagus;_yr3+__hi_,140,0.054,0.4,0
asparagus;_yr3+__hi_,140,0.054,0.4,0
asparagus;_yr3+__hi_,140,0.054,0.4,0
asparagus;_yr3+__hi_,140,0.054,0.4,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,5,0.1,0.104736,0
brocolli;_hi_prod,20,0.2,0.2,0
brocolli;_hi_prod,130,0.5,0.3,0
brocolli;_hi_prod,250,0.898,0.5,0
brocolli;_hi_prod,250,0.95,0.5,0
brocolli;_hi_prod,250,0.898,0.5,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
brocolli;_hi_prod,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,90,0.05,0.1,0
rye;_winter_cover_s.,230,0.2,0.195344,0
rye;_winter_cover_s.,340,0.4,0.3,0
rye;_winter_cover_s.,460,0.6,0.5,0
rye;_winter_cover_s.,600,0.75,0.6,0
rye;_winter_cover_s.,660,0.8,0.7,0
rye;_winter_cover_s.,710,0.85,0.8,0
rye;_winter_cover_s.,760,0.9,0.9,0
rye;_winter_cover_s.,910,0.95,1,0
rye;_winter_cover_s.,960,0.95,1.2,0
rye;_winter_cover_s.,1000,0.95,1.5,0
rye;_winter_cover_s.,1000,0.95,1.7,0
rye;_winter_cover_s.,1000,0.95,2,0
rye;_winter_cover_s.,1000,0.95,2,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
rye;_winter_cover_s.,0,0,0,0
cabbage;_hi_prod,10,0.054,0.2,0
cabbage;_hi_prod,15,0.1,0.3,0
cabbage;_hi_prod,35,0.35,0.4,0
cabbage;_hi_prod,95,0.55,0.4,0
cabbage;_hi_prod,259.6,0.8,0.4,0
cabbage;_hi_prod,410,0.85,0.4,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cabbage;_hi_prod,0,0,0,0
cauliflower;_hi_prod,5,0.05,0.99,0
cauliflower;_hi_prod,5,0.15,0.99,0
cauliflower;_hi_prod,30,0.3,0.99,0
cauliflower;_hi_prod,80,0.55,0.99,0
cauliflower;_hi_prod,170,0.8,0.99,0
cauliflower;_hi_prod,270,0.9,0.99,0
cauliflower;_hi_prod,270,0.8,0.99,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
cauliflower;_hi_prod,0,0,0,0
celery;_hi_prod,470,0.05,0.2,0
celery;_hi_prod,590,0.1,0.4,0
celery;_hi_prod,1020,0.2,0.7,0
celery;_hi_prod,1900,0.55,0.9,0
celery;_hi_prod,2330,0.65,1.1,0
celery;_hi_prod,2770,0.9,1.45,0
celery;_hi_prod,3180,0.95,1.75,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
celery;_hi_prod,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,6,0.05,0.1,0
lettuce;_leaf_hi_pro,12,0.2,0.1,0
lettuce;_leaf_hi_pro,25,0.4,0.2,0
lettuce;_leaf_hi_pro,55,0.5,0.3,0
lettuce;_leaf_hi_pro,100,0.5,0.3,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_leaf_hi_pro,0,0,0,0
lettuce;_head_hi_pro,2,0.01,0,0
lettuce;_head_hi_pro,6,0.05,0.1,0
lettuce;_head_hi_pro,12,0.1,0.1,0
lettuce;_head_hi_pro,25,0.4,0.2,0
lettuce;_head_hi_pro,30,0.55,0.3,0
lettuce;_head_hi_pro,35,0.55,0.3,0
lettuce;_head_hi_pro,35,0.5,0.3,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
lettuce;_head_hi_pro,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,5,0.05,0.1,0
mustard_greens;_hi_p,25,0.25,0.2,0
mustard_greens;_hi_p,60,0.75,0.3,0
mustard_greens;_hi_p,210,0.9,0.6,0
mustard_greens;_hi_p,380,0.95,0.7,0
mustard_greens;_hi_p,370,0.9,0.5,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_hi_p,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,5,0.05,0.1,0
mustard_greens;_fall,20,0.2,0.2,0
mustard_greens;_fall,50,0.7,0.3,0
mustard_greens;_fall,180,0.85,0.6,0
mustard_greens;_fall,320,0.9,0.7,0
mustard_greens;_fall,310,0.8,0.5,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
mustard_greens;_fall,0,0,0,0
ryegrass;_ann;_seed1,0,0,0,0
ryegrass;_ann;_seed1,10,0.01,0.1,0
ryegrass;_ann;_seed1,50,0.1,0.1,0
ryegrass;_ann;_seed1,90,0.15,0.1,0
ryegrass;_ann;_seed1,120,0.2,0.2,0
ryegrass;_ann;_seed1,140,0.2,0.2,0
ryegrass;_ann;_seed1,140,0.2,0.2,0
ryegrass;_ann;_seed1,140,0.2,0.2,0
ryegrass;_ann;_seed1,140,0.2,0.2,0
ryegrass;_ann;_seed1,160,0.25,0.2,0
ryegrass;_ann;_seed1,180,0.3,0.3,0
ryegrass;_ann;_seed1,220,0.35,0.3,0
ryegrass;_ann;_seed1,300,0.4,0.3,0
ryegrass;_ann;_seed1,400,0.5,0.3,0
ryegrass;_ann;_seed1,800,0.7,0.4,0
ryegrass;_ann;_seed1,1300,0.9,0.5,0
ryegrass;_ann;_seed1,1300,0.9,0.5,0
ryegrass;_ann;_seed1,1600,0.95,0.5,0
ryegrass;_ann;_seed1,1600,0.95,0.5,0
ryegrass;_ann;_seed1,0,0,0,0
ryegrass;_ann;_seed1,0,0,0,0
ryegrass;_ann;_seed1,0,0,0,0
ryegrass;_ann;_seed1,0,0,0,0
ryegrass;_ann;_seed1,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,100,0.1,0.1,0
clover;_red_/oat_nur,300,0.35,0.3,0
clover;_red_/oat_nur,600,0.6,0.8,0
clover;_red_/oat_nur,700,0.85,1.3,0
clover;_red_/oat_nur,800,0.95,1.5,0
clover;_red_/oat_nur,800,0.95,1.5,0
clover;_red_/oat_nur,800,0.95,1.5,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
clover;_red_/oat_nur,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,42.5,0.277,0.09680187,0
barley;_annual_wint4,170,0.553,0.18956711,0
barley;_annual_wint4,255,0.691,0.8712169,0
barley;_annual_wint4,340,0.719,1.35522629,0
barley;_annual_wint4,510,0.738,1.64563193,0
barley;_annual_wint4,595,0.756,1.64563193,0
barley;_annual_wint4,637.5,0.784,1.64563193,0
barley;_annual_wint4,680,0.83,1.64563193,0
barley;_annual_wint4,722.5,0.876,1.64563193,0
barley;_annual_wint4,765,0.876,1.64563193,0
barley;_annual_wint4,765,0.876,1.64563193,0
barley;_annual_wint4,807.5,0.876,1.64563193,0
barley;_annual_wint4,850,0.876,1.64563193,0
barley;_annual_wint4,892.5,0.876,1.64563193,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
barley;_annual_wint4,0,0,0,0
delayed_germination,0,0.001,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
delayed_germination,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,70,0.05,0.1,0
wheat;_winter_silag2,200,0.25,0.195344,0
wheat;_winter_silag2,300,0.35,0.3,0
wheat;_winter_silag2,400,0.4,0.5,0
wheat;_winter_silag2,480,0.5,0.6,0
wheat;_winter_silag2,530,0.55,0.7,0
wheat;_winter_silag2,590,0.6,0.7,0
wheat;_winter_silag2,600,0.7,0.8,0
wheat;_winter_silag2,660,0.801,0.9,0
wheat;_winter_silag2,710,0.95,1,0
wheat;_winter_silag2,800,0.95,1.17206,0
wheat;_winter_silag2,890,0.95,1.26973,0
wheat;_winter_silag2,1070,0.95,1.46508,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
wheat;_winter_silag2,0,0,0,0
weeds;_less_than_3_m,10,0.02,0.1,0
weeds;_less_than_3_m,40,0.05,0.1,0
weeds;_less_than_3_m,80,0.1,0.1,0
weeds;_less_than_3_m,150,0.4,0.2,0
weeds;_less_than_3_m,400,0.6,0.2,0
weeds;_less_than_3_m,500,0.8,0.3,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
weeds;_less_than_3_m,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,100,0.1,0.1,0
oats;_spring,300,0.35,0.3,0
oats;_spring,600,0.6,0.8,0
oats;_spring,700,0.85,1.3,0
oats;_spring,800,0.95,1.5,0
oats;_spring,800,0.95,1.5,0
oats;_spring,800,0.95,1.5,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_spring,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,70,0.05,0.1,0
oats;_winter_s.e.,200,0.25,0.195344,0
oats;_winter_s.e.,300,0.35,0.3,0
oats;_winter_s.e.,400,0.4,0.5,0
oats;_winter_s.e.,480,0.5,0.6,0
oats;_winter_s.e.,530,0.55,0.7,0
oats;_winter_s.e.,590,0.6,0.7,0
oats;_winter_s.e.,600,0.7,0.8,0
oats;_winter_s.e.,660,0.801,0.9,0
oats;_winter_s.e.,710,0.95,1,0
oats;_winter_s.e.,800,0.95,1.17206,0
oats;_winter_s.e.,890,0.95,1.26973,0
oats;_winter_s.e.,1070,0.95,1.46508,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_winter_s.e.,0,0,0,0
oats;_fall_seeded;_h,0,0,0,0
oats;_fall_seeded;_h,70,0.05,0.1,0
oats;_fall_seeded;_h,220,0.1,0.3,0
oats;_fall_seeded;_h,390,0.2,0.3,0
oats;_fall_seeded;_h,490,0.25,0.4,0
oats;_fall_seeded;_h,530,0.25,0.4,0
oats;_fall_seeded;_h,530,0.25,0.4,0
oats;_fall_seeded;_h,530,0.25,0.5,0
oats;_fall_seeded;_h,530,0.3,0.6,0
oats;_fall_seeded;_h,530,0.45,0.7,0
oats;_fall_seeded;_h,540,0.6,1.4,0
oats;_fall_seeded;_h,570,0.8,1.6,0
oats;_fall_seeded;_h,600,0.9,1.7,0
oats;_fall_seeded;_h,660,0.95,1.7,0
oats;_fall_seeded;_h,730,0.95,1.7,0
oats;_fall_seeded;_h,800,0.95,1.7,0
oats;_fall_seeded;_h,860,0.95,1.4,0
oats;_fall_seeded;_h,900,0.95,1.6,0
oats;_fall_seeded;_h,940,0.95,1.6,0
oats;_fall_seeded;_h,960,0.95,1.6,0
oats;_fall_seeded;_h,970,0.95,1.6,0
oats;_fall_seeded;_h,970,0.95,1.6,0
oats;_fall_seeded;_h,970,0.95,1.6,0
oats;_fall_seeded;_h,0,0,0,0
wheat;_winter;_west_,0,0,0,0
wheat;_winter;_west_,5,0.01,0.1,0
wheat;_winter;_west_,60,0.05,0.1,0
wheat;_winter;_west_,140,0.1,0.1,0
wheat;_winter;_west_,220,0.15,0.1,0
wheat;_winter;_west_,270,0.2,0.2,0
wheat;_winter;_west_,310,0.25,0.3,0
wheat;_winter;_west_,320,0.3,0.4,0
wheat;_winter;_west_,370,0.4,0.6,0
wheat;_winter;_west_,460,0.6,0.9,0
wheat;_winter;_west_,590,0.85,1.4,0
wheat;_winter;_west_,760,0.9,1.7,0
wheat;_winter;_west_,970,0.95,1.8,0
wheat;_winter;_west_,1110,0.95,1.8,0
wheat;_winter;_west_,1200,0.95,1.8,0
wheat;_winter;_west_,1330,0.95,1.8,0
wheat;_winter;_west_,1420,0.95,1.8,0
wheat;_winter;_west_,1470,0.95,1.8,0
wheat;_winter;_west_,1500,0.95,1.8,0
wheat;_winter;_west_,0,0,0,0
wheat;_winter;_west_,0,0,0,0
wheat;_winter;_west_,0,0,0,0
wheat;_winter;_west_,0,0,0,0
wheat;_winter;_west_,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,110,0.05,0.1,0
wheat;_spring_7in_ro,270,0.1,0.2,0
wheat;_spring_7in_ro,490,0.45,0.8,0
wheat;_spring_7in_ro,630,0.85,1.3,0
wheat;_spring_7in_ro,760,0.95,1.5,0
wheat;_spring_7in_ro,970,0.95,1.5,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
wheat;_spring_7in_ro,0,0,0,0
