Mgmt_Operation_ID,Effect_Code_01,Effect_Code_02,Effect_Code_03,Effect_Code_04,Effect_Code_05,Residue_Cover_Remaining,Residue_Weight_Remaining,Area_Disturbed,Initial_Random_Roughness,Final_Random_Roughness,Operation_Tillage_Depth,Added_Surface_Residue,Surface_Decomp,Subsurface_Decomp,Surface_Residue_30%,Surface_Residue_60%,Surface_Residue_90%,Input_Units_Code
1isk;_offset;_heavy1,8,1,2,,,1,,100,1.7,0.24,12,,,,,,,0
1rill_or_air_seeder1,1,2,7,,,0.4,,15,0.3,0.24,2.5,,,,,,,0
1rill_or_air_seeder2,1,2,7,,,0.6,,35,0.3,0.24,2.5,,,,,,,0
add_mulch,4,,,,,,,,,,,100,,,,,,0
aerial_seeding,7,,,,,,,,,,,,,,,,,0
bale_straw_or_residu,5,1,,,,,,,,,,,,,,,,0
bed_shaper,1,2,,,,0.6,,75,0.6,0.24,4,,,,,,,0
bed_shaper;_12_in,1,2,,,,0.6,,75,0.6,0.24,4,,,,,,,0
bedder;_hipper;_dis1,8,1,2,,,0.9,,100,0.6,0.24,4,,,,,,,0
bedder;_hipper;_hil1,1,2,,,,1,,100,0.6,0.24,6,,,,,,,0
bedder;_hipper;_hil2,1,2,,,,1,,100,0.6,0.24,7,,,,,,,0
begin_growth,7,,,,,,,,,,,,,,,,,0
begin_weed_growth,7,,,,,,,,,,,,,,,,,0
bulldozer;_clearing1,8,1,6,5,2,1,,100,0.8,0.24,5,,,,,,,0
bulldozer;_filling/l,8,1,2,,,1,,100,0.3,0.24,2,,,,,,,0
chisel;_st._pt.,8,1,2,,,0.75,,100,1.5,0.24,7,,,,,,,0
chisel;_st._pt._12_i,8,1,2,,,0.75,,100,1.7,0.24,12,,,,,,,0
chisel;_st._pt._15_i,8,1,2,,,0.75,,100,1.8,0.24,15,,,,,,,0
chisel;_st._pt._5_i1,8,1,2,,,0.75,,100,1.5,0.24,5,,,,,,,0
chisel;_sweep_shove1,8,1,2,,,0.85,,100,1.2,0.24,7,,,,,,,0
chisel;_twisted_sho1,8,1,2,,,0.9,,100,1.9,0.24,7,,,,,,,0
continuous_disturban,8,1,2,1,,1,,100,0.4,0.24,4,,,,,,,0
cultipacker;_roller,1,2,1,1,1,0.5,,100,0.32,0.24,1.5,,,,,,,0
cultivate;_manually,8,1,2,,,0.9,,100,0.8,0.24,3,,,,,,,0
cultivate;_rows_manu,2,,,,,0.9,,100,0.8,0.24,3,,,,,,,0
cultivator;_field_62,8,1,2,,,0.4,,100,0.6,0.24,4,,,,,,,0
cultivator;_field_w1,8,1,2,,,0.5,,100,0.8,0.24,4,,,,,,,0
cultivator;_hipper;_,1,2,4,,,0.9,,50,0.6,0.24,2,100,,,,,,0
cultivator;_off_bar_,1,2,,,,0.5,,65,0.8,0.24,2.5,,,,,,,0
cultivator;_rotary,1,2,,,,0.5,,85,0.4,0.24,1.5,,,,,,,0
cultivator;_rotary_1,1,2,,,,0.5,,85,0.4,0.24,1.5,,,,,,,0
cultivator;_row_-_1s,1,2,,,,0.75,,90,0.7,0.24,3,,,,,,,0
cultivator;_row_1_in,1,2,,,,0.5,,75,0.3,0.24,3,,,,,,,0
cultivator;_row_3_in,1,2,,,,0.5,,90,0.6,0.24,3,,,,,,,0
cultivator;_row_betw,1,2,,,,0.5,,65,0.8,0.24,2.5,,,,,,,0
cultivator;_row;_hig,1,2,,,,0.5,,50,0.8,0.24,2.5,,,,,,,0
default1,1,,,,,,,,,,,,,,,,,0
