Mgmt_Schd_ID,Event_Month,Event_Day,Event_Year,Contour_ID,New_Crop_ID,Strip_Crop_ID,New_Non-Crop_ID,Curve_Number_ID,Post_Event_Mannings_n,Post_Event_Surface_Constant,Operation_Residue_Change,Fertilizer_Application_ID,Irrigation_Application_ID,Mgmt_Operation_ID,Tile_Drain_Controlled_Status,Tile_Drain_Controlled_Depth,Input_Units_Code
Fallow_Idle_Cropland,,,,,,,fallow,Fallow_(CR_Good),,,,,,,,,0
Aquaculture,,,,,,,fallow,Fallow_(Bare),,,,,,,,,0
Barren,,,,,,,fallow,Fallow_(Bare),,,,,,,,,0
Christmas_Trees,,,,,,,Forest,Woods_Grass_(Good),,,,,,,,,0
Deciduous_Forest,,,,,,,Forest,Woods_(Good),,,,,,,,,0
Clouds_No_Data,,,,,,,fallow,Brush_(Good),,,,,,,,,0
Commercial,,,,,,,Commercial,Residential_(38%_imp),,,,,,,,,0
Developed,,,,,,,residential,Residential_(38%_imp),,,,,,,,,0
Developed_High_Intensity,,,,,,,Commercial,Urban_(85%_imp),,,,,,,,,0
Developed_Low_Intensity,,,,,,,residential,Residential_(30%_imp),,,,,,,,,0
Developed_Med_Intensity,,,,,,,residential,Residential_(65%_imp),,,,,,,,,0
Developed_Open_Space,,,,,,,residential,Open_Space_(Good),,,,,,,,,0
Evergreen_Forest,,,,,,,Forest,Woods_(Good),,,,,,,,,0
Forest,,,,,,,Forest,Woods_(Good),,,,,,,,,0
Herbaceous_Wetlands,,,,,,,fallow,Fallow_(Bare),,,,,,,,,0
Mixed_Forest,,,,,,,Forest,Woods_Grass_(Fair),,,,,,,,,0
Nonag_Undefined,,,,,,,Forest,Fallow_(CR_Poor),,,,,,,,,0
Shrubland,,,,,,,fallow,Brush_(Good),,,,,,,,,0
Sod_Grass_Seed,,,,,,,fallow,Brush_(Good),,,,,,,,,0
roads,,,,,,,roads,Roads_(Paved_w/ditch),,,,,,,,,0
Wetlands,,,,,,,fallow,Fallow_(Bare),,,,,,,,,0
Asparagus,1,1,1,,,,,Close_Seeded_(SR_Good),,,,,,subsoiler,,,0
Asparagus,1,3,1,,,,,,,,,,,disk;_offset;_heavy,,,0
Asparagus,1,5,1,,,,,,,,,,,disk;_offset;_heavy,,,0
Asparagus,1,10,1,,,,,,,,,,,land_plane,,,0
Asparagus,1,15,1,,,,,,,,,,,disk;_tandem_light_f,,,0
Asparagus,1,16,1,,,,,,,,,,,disk;_tandem_light_f,,,0
Asparagus,2,1,1,,,,,,,,,,,lister;_40_in,,,0
Asparagus,2,2,1,,,,,,,,,,,bed_shaper,,,0
Asparagus,2,28,1,,,,,,,,,,,fert_applic._shank_3,,,0
Asparagus,3,1,1,,,,,,,,,,,sprayer;_pre-emergen,,,0
Asparagus,3,2,1,,asparagus;_yr1_and_2,,,,,,,,,planter;_transplant2,,,0
Asparagus,5,1,1,,,,,,,,,,,sprayer;_fungicide,,,0
Asparagus,5,2,1,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,6,1,1,,,,,,,,,,,sprayer;_insecticide,,,0
Asparagus,6,2,1,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,7,15,1,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,11,1,1,,,,,,,,,,,shredder;_flail_or_1,,,0
Asparagus,2,15,2,,asparagus;_yr3+__hi_,,,,,,,,,begin_growth,,,0
Asparagus,3,1,2,,,,,,,,,,,harvest;_hand_pick_m,,,0
Asparagus,4,1,2,,,,,,,,,,,harvest;_hand_pick_m,,,0
Asparagus,5,1,2,,,,,,,,,,,sprayer;_post_emerg1,,,0
Asparagus,5,2,2,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,6,1,2,,,,,,,,,,,sprayer;_insecticide,,,0
Asparagus,6,2,2,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,7,15,2,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,10,1,2,,,,,,,,,,,shredder;_flail_or_1,,,0
Asparagus,2,15,3,,asparagus;_yr3+__hi_,,,,,,,,,begin_growth,,,0
Asparagus,3,1,3,,,,,,,,,,,harvest;_hand_pick_m,,,0
Asparagus,4,1,3,,,,,,,,,,,harvest;_hand_pick_m,,,0
Asparagus,5,1,3,,,,,,,,,,,sprayer;_post_emerg1,,,0
Asparagus,5,2,3,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,6,1,3,,,,,,,,,,,sprayer;_insecticide,,,0
Asparagus,6,2,3,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,7,15,3,,,,,,,,,,,cultivator;_row_betw,,,0
Asparagus,10,1,3,,,,,,,,,,,shredder;_flail_or_1,,,0
Asparagus,2,15,4,,asparagus;_yr3+__hi_,,,,,,,,,begin_growth,,,0
Asparagus,3,1,4,,,,,,,,,,,harvest;_hand_pick_m,,,0
Asparagus,4,1,4,,,,,,,,,,,harvest;_hand_pick_m,,,0
Asparagus,5,1,4,,,,,,,,,,,sprayer;_post_emerg1,,,0
