Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
22,,,2,1,2.4093,,71.37,,0.11689,141.00,0.922,,,,,0.03933,119.29,,,,0.01567,50.00,0.00850,50.00,,,,,,,,,1
23,,,2,1,25.3161,,78.95,,0.11773,289.61,0.927,,,,,0.02223,960.22,,,,0.06170,50.00,0.09739,50.00,,,,,,,,,1
31,,,3,0,17.5698,,82.33,,0.08892,123.70,0.753,,,,,0.02516,645.31,,,,0.04438,50.00,0.06897,50.00,,,,,,,,,1
32,,,3,1,1.0053,,73.08,,0.09088,93.80,0.667,,,,,0.12940,21.84,,,,0.02400,50.00,0.01200,50.00,,,,,,,,,1
33,,,3,1,8.0532,,78.22,,0.06188,145.35,0.532,,,,,0.02425,679.12,,,,0.05404,50.00,0.10856,50.00,,,,,,,,,1
42,,,4,1,1.2888,,72.17,,0.06577,146.27,0.500,,,,,0.03199,131.29,,,,0.00400,50.00,0.00001,50.00,,,,,,,,,1
43,,,4,1,0.3150,,70.85,,0.14612,310.40,1.082,,,,,0.00001,0.00,,,,0.06000,50.00,0.03134,48.14,,,,,,,,,1
52,,,5,1,1.1736,,71.24,,0.12405,114.90,0.954,,,,,0.00001,0.00,,,,0.05167,50.00,0.05141,22.68,,,,,,,,,1
53,,,5,1,3.7629,,74.97,,0.09908,277.25,0.795,,,,,0.03207,256.90,,,,0.12013,50.00,0.07128,50.00,,,,,,,,,1
61,,,6,0,15.9984,,80.68,,0.07830,145.33,0.699,,,,,0.00980,671.72,,,,0.09357,50.00,0.07774,50.00,,,,,,,,,1
62,,,6,1,9.3780,,81.18,,0.07073,122.07,0.606,,,,,0.05034,429.80,,,,0.03274,50.00,0.00653,50.00,,,,,,,,,1
63,,,6,1,10.8270,,76.99,,0.02580,215.25,0.229,,,,,0.01461,860.74,,,,0.01250,50.00,0.06704,50.00,,,,,,,,,1
72,,,7,1,2.6559,,72.64,,0.08508,181.32,0.658,,,,,0.01725,243.55,,,,0.01000,50.00,0.00201,50.00,,,,,,,,,1
73,,,7,1,12.8448,,82.28,,0.09424,299.78,0.821,,,,,0.03186,724.76,,,,0.03500,50.00,0.10127,50.00,,,,,,,,,1
82,,,8,1,2.6055,,74.55,,0.07522,142.85,0.603,,,,,0.01562,268.90,,,,0.00509,50.00,0.00291,50.00,,,,,,,,,1
83,,,8,1,0.6498,,73.14,,0.18962,288.95,1.533,,,,,0.00001,0.00,,,,0.09200,50.00,0.00001,8.71,,,,,,,,,1
91,,,9,0,23.0283,,80.19,,0.04122,143.22,0.355,,,,,0.00704,1038.82,,,,0.04715,50.00,0.06271,50.00,,,,,,,,,1
92,,,9,1,6.1524,,79.28,,0.04002,139.43,0.353,,,,,0.02288,403.30,,,,0.01319,50.00,0.10426,50.00,,,,,,,,,1
93,,,9,1,3.9159,,75.75,,0.00836,250.65,0.091,,,,,0.00176,249.27,,,,0.00200,50.00,0.00524,50.00,,,,,,,,,1
102,,,10,1,0.3420,,73.05,,0.16724,153.56,1.260,,,,,0.00001,0.00,,,,0.09506,34.71,0.00001,0.00,,,,,,,,,1
103,,,10,1,1.9917,,77.05,,0.14068,319.80,1.149,,,,,0.02475,224.29,,,,0.07654,50.00,0.13345,50.00,,,,,,,,,1
112,,,11,1,2.8584,,74.71,,0.12956,144.27,1.007,,,,,0.04242,99.02,,,,0.01000,50.00,0.00599,50.00,,,,,,,,,1
113,,,11,1,24.6492,,83.39,,0.08718,305.84,0.735,,,,,0.02557,950.74,,,,0.04133,50.00,0.03243,50.00,,,,,,,,,1
122,,,12,1,3.2355,,83.46,,0.06510,175.29,0.528,,,,,0.02212,588.50,,,,0.03719,50.00,0.07450,50.00,,,,,,,,,1
123,,,12,1,0.1089,,76.65,,0.14053,331.84,1.079,,,,,0.00001,0.00,,,,0.06306,45.99,0.00001,0.00,,,,,,,,,1
131,,,13,0,18.8415,,83.73,,0.05331,184.08,0.452,,,,,0.01882,734.49,,,,0.06870,50.00,0.07078,50.00,,,,,,,,,1
132,,,13,1,1.4238,,78.54,,0.01851,137.37,0.163,,,,,0.00994,201.15,,,,0.01400,50.00,0.01000,50.00,,,,,,,,,1
133,,,13,1,0.1836,,77.60,,0.01705,289.28,0.170,,,,,0.00001,0.00,,,,0.00529,37.71,0.00001,0.00,,,,,,,,,1
142,,,14,1,0.4437,,76.52,,0.15326,160.80,1.199,,,,,0.00001,0.00,,,,0.05599,50.00,0.00001,2.09,,,,,,,,,1
143,,,14,1,2.1249,,77.87,,0.04743,280.75,0.374,,,,,0.01512,218.29,,,,0.01519,50.00,0.00680,50.00,,,,,,,,,1
152,,,15,1,9.1278,,86.43,,0.07312,175.90,0.616,,,,,0.03261,638.88,,,,0.04353,50.00,0.02046,50.00,,,,,,,,,1
