Cell_ID,Receiving_Reach_ID,Receiving_Reach_Location_[0=up;1=dn],Drainage_Area_[ha],Average_Elevation_[m],Average_Aspect_[deg],Land_Slope_[m/m],Sheet_Flow_Slope_[m/m],Sheet_Flow_Length_[m],Shallow_Concentrated_Flow_Slope_[m/m],Shallow_Concentrated_Flow_Length_[m],Concentrated_Flow_Slope_[m/m],Concentrated_Flow_Length_[m],LS_Factor,Aspect_Correlation,Orphan_Raster_Code_[T/F]
22,2,1,7.9600,163.41,345.96,0.02260,0.09180,50.00,0.02420,50.00,0.00039,206.78,0.294,0.6024,F
23,2,1,6.8000,163.30,130.34,0.02201,0.03600,50.00,0.00200,50.00,0.00001,160.56,0.286,0.6455,F
31,3,0,10.7600,165.05,328.07,0.05433,0.07200,50.00,0.00001,50.00,0.00179,1123.82,0.631,0.2191,F
32,3,1,2.0100,163.83,331.97,0.02683,0.07200,50.00,0.01703,50.00,0.00211,118.14,0.336,0.5848,F
33,3,1,0.1400,163.01,41.71,0.00058,0.00001,35.36,0.00001,0.00,0.00001,0.00,0.039,0.7059,F
42,4,1,3.2000,163.24,12.29,0.01371,0.00001,50.00,0.00001,50.00,0.00001,231.63,0.177,0.7090,F
43,4,1,7.8500,163.31,116.15,0.01742,0.04397,50.00,0.00001,50.00,0.00001,331.27,0.220,0.7724,F
52,5,1,14.8500,164.00,328.19,0.02650,0.05142,50.00,0.00459,50.00,0.00251,678.91,0.327,0.4266,F
53,5,1,10.6900,163.81,80.64,0.01350,0.00800,50.00,0.00600,50.00,0.00502,318.85,0.185,0.4454,F
62,6,1,0.8100,163.55,342.65,0.00564,0.00614,50.00,0.00586,50.00,0.00140,78.14,0.091,0.8144,F
63,6,1,1.5900,163.65,72.66,0.01187,0.01000,50.00,0.00049,50.00,0.00137,92.28,0.141,0.8327,F
71,7,0,10.3000,165.74,19.32,0.03438,0.07200,50.00,0.00566,50.00,0.00110,749.26,0.439,0.1535,F
72,7,1,20.5900,165.07,288.39,0.05017,0.01000,50.00,0.00001,50.00,0.00271,220.92,0.636,0.6513,F
73,7,1,42.3800,164.50,58.57,0.01474,0.03200,50.00,0.00200,50.00,0.00037,828.26,0.195,0.4401,F
81,8,0,10.4000,165.28,11.64,0.01285,0.01200,50.00,0.00001,50.00,0.00113,621.99,0.188,0.2289,F
82,8,1,23.3000,164.86,328.50,0.00986,0.01083,50.00,0.00717,50.00,0.00104,873.11,0.150,0.3189,F
83,8,1,12.4500,164.93,99.46,0.00954,0.01000,50.00,0.00201,50.00,0.00185,325.42,0.150,0.4874,F
92,9,1,19.4700,164.09,311.46,0.01835,0.03200,50.00,0.00200,50.00,0.00026,397.84,0.236,0.3521,F
93,9,1,32.2900,180.09,71.03,0.13369,0.00800,50.00,0.00952,50.00,0.05739,747.90,2.446,0.5683,F
102,10,1,15.5400,164.30,297.51,0.00860,0.00942,50.00,0.02059,50.00,0.00035,883.47,0.126,0.5590,F
103,10,1,20.6600,164.87,46.84,0.02336,0.00199,50.00,0.00001,50.00,0.00044,917.90,0.287,0.3255,F
112,11,1,28.7800,165.35,311.14,0.02743,0.07800,50.00,0.00198,50.00,0.00001,608.20,0.349,0.5875,F
113,11,1,19.6400,165.16,84.58,0.01877,0.01507,50.00,0.00425,50.00,0.00230,473.35,0.230,0.4825,F
121,12,0,10.3600,166.23,87.61,0.02694,0.00597,50.00,0.00001,50.00,0.00001,678.26,0.327,0.2207,F
122,12,1,17.1000,165.97,304.44,0.02614,0.05600,50.00,0.00001,50.00,0.00191,524.41,0.324,0.4285,F
123,12,1,14.7800,165.59,76.34,0.01350,0.00800,50.00,0.00138,50.00,0.00188,657.90,0.172,0.3656,F
132,13,1,7.7500,165.31,51.85,0.01033,0.08000,50.00,0.00400,50.00,0.00167,419.91,0.138,0.6369,F
133,13,1,14.7800,165.49,120.19,0.01161,0.03371,50.00,0.00829,50.00,0.00055,365.77,0.163,0.5994,F
141,14,0,13.2400,166.80,23.06,0.03586,0.00400,50.00,0.00201,50.00,0.00070,868.55,0.457,0.1472,F
142,14,1,11.6500,166.49,334.55,0.02988,0.05428,50.00,0.01170,50.00,0.00001,534.77,0.372,0.5025,F
143,14,1,20.7800,166.41,101.26,0.01316,0.00800,50.00,0.00201,50.00,0.00091,664.77,0.176,0.2542,F
152,15,1,0.6500,165.29,8.43,0.01164,0.01398,50.00,0.00001,50.00,0.00001,7.78,0.145,0.5424,F
153,15,1,0.7000,165.13,134.52,0.00195,0.00198,50.00,0.00001,50.00,0.00001,57.78,0.056,0.4923,F
162,16,1,47.1300,166.19,353.98,0.02389,0.08599,50.00,0.00001,50.00,0.00259,560.56,0.316,0.4142,F
163,16,1,32.1700,165.61,124.38,0.01153,0.02399,50.00,0.00001,50.00,0.00034,910.04,0.159,0.5448,F
172,17,1,1.9600,166.85,38.28,0.02558,0.02741,50.00,0.03858,50.00,0.00001,102.63,0.334,0.7986,F
173,17,1,0.7700,165.75,98.22,0.00434,0.02200,50.00,0.00199,50.00,0.00001,81.92,0.063,0.5607,F
181,18,0,10.1500,198.48,261.56,0.10491,0.00634,50.00,0.01014,50.00,0.06021,524.41,1.813,0.5816,F
182,18,1,41.5000,189.42,314.73,0.12277,0.01214,50.00,0.01792,50.00,0.04997,748.55,2.260,0.4108,F
183,18,1,44.8200,187.55,60.61,0.12344,0.01531,50.00,0.03511,50.00,0.03071,842.70,2.261,0.4655,F
191,19,0,10.5300,169.26,354.88,0.01081,0.00600,50.00,0.00552,50.00,0.00465,500.56,0.157,0.8116,F
192,19,1,14.4200,168.47,4.65,0.01492,0.03200,50.00,0.00400,50.00,0.00625,672.70,0.193,0.6662,F
193,19,1,7.3400,167.47,89.21,0.01294,0.00600,50.00,0.00800,50.00,0.00512,234.35,0.183,0.1591,F
202,20,1,8.7700,166.20,71.38,0.01154,0.01400,50.00,0.00001,50.00,0.00231,521.98,0.157,0.4535,F
203,20,1,12.9900,166.03,173.44,0.01336,0.03849,50.00,0.00551,50.00,0.00030,676.54,0.178,0.5549,F
212,21,1,1.0200,166.61,4.16,0.03439,0.01800,50.00,0.00001,33.64,0.00001,0.00,0.363,0.6836,F
213,21,1,6.1600,167.04,168.89,0.01657,0.00400,50.00,0.00001,50.00,0.00120,503.76,0.234,0.1828,F
221,22,0,11.2100,170.60,19.27,0.01694,0.02103,50.00,0.03372,50.00,0.01178,527.49,0.230,0.7818,F
222,22,1,15.7400,168.48,337.25,0.02442,0.04566,50.00,0.02069,50.00,0.00343,813.76,0.339,0.4464,F
223,22,1,22.1100,167.49,85.41,0.01169,0.01800,50.00,0.00201,50.00,0.00122,744.12,0.166,0.2838,F
232,23,1,1.8500,167.16,38.58,0.01289,0.00200,50.00,0.00211,47.43,0.00001,0.00,0.168,0.4367,F
233,23,1,5.0200,167.39,182.29,0.02062,0.02766,50.00,0.00233,50.00,0.00001,432.05,0.272,0.1440,F
242,24,1,0.8900,167.20,342.04,0.01776,0.00800,50.00,0.00533,37.43,0.00001,0.00,0.157,0.3458,F
243,24,1,0.9800,167.56,174.63,0.02282,0.01448,50.00,0.00750,50.00,0.00001,1.57,0.319,0.6719,F
252,25,1,0.6900,167.35,292.86,0.02252,0.01398,50.00,0.00001,23.28,0.00001,0.00,0.221,0.5210,F
253,25,1,0.3400,167.36,90.26,0.02008,0.01411,35.36,0.00001,0.00,0.00001,0.00,0.289,0.9417,F
261,26,0,12.0300,204.05,8.17,0.07077,0.01448,50.00,0.05841,50.00,0.04108,318.20,1.144,0.3006,F
262,26,1,21.2800,185.86,325.75,0.08039,0.01400,50.00,0.02869,50.00,0.05374,519.20,1.359,0.6125,F
263,26,1,28.0900,182.20,63.37,0.07575,0.01034,50.00,0.01000,50.00,0.00590,489.20,1.317,0.5020,F
272,27,1,4.7100,167.90,35.68,0.01956,0.00400,50.00,0.00800,50.00,0.00066,152.28,0.227,0.3348,F
273,27,1,6.2500,168.70,130.11,0.01868,0.02800,50.00,0.00049,50.00,0.00674,248.85,0.259,0.4240,F
282,28,1,17.9000,169.96,19.11,0.02089,0.02883,50.00,0.01020,50.00,0.00637,557.49,0.278,0.5343,F
283,28,1,4.5300,169.25,116.26,0.02280,0.06083,50.00,0.00469,50.00,0.00206,158.14,0.288,0.3701,F
292,29,1,0.2000,170.90,254.97,0.02995,0.03714,35.00,0.00001,0.00,0.00001,0.00,0.287,0.6835,F
293,29,1,1.7700,177.84,32.19,0.12436,0.06400,50.00,0.07919,50.00,0.12569,152.28,2.110,0.9360,F
301,30,0,10.0800,205.23,73.86,0.09910,0.03400,50.00,0.02117,50.00,0.03526,423.70,1.716,0.1907,F
302,30,1,28.4900,195.62,331.65,0.14465,0.00766,50.00,0.04164,50.00,0.04255,648.55,2.615,0.4169,F
303,30,1,17.5500,192.82,69.72,0.14849,0.01731,50.00,0.02366,50.00,0.09651,222.28,2.780,0.6655,F
311,31,0,12.0200,200.26,13.11,0.08119,0.00766,50.00,0.01192,50.00,0.05363,426.48,1.392,0.5754,F
312,31,1,0.7800,181.71,337.45,0.14147,0.03806,50.00,0.15779,50.00,0.36268,9.85,2.258,0.7749,F
313,31,1,1.3300,185.11,66.58,0.17511,0.06085,50.00,0.19539,50.00,0.11725,96.42,3.158,0.8671,F
321,32,0,10.4300,204.83,316.62,0.02695,0.00917,50.00,0.01000,50.00,0.01286,734.41,0.365,0.5029,F
322,32,1,10.5000,195.38,325.61,0.08501,0.01069,50.00,0.01931,50.00,0.02787,322.99,1.387,0.7246,F
323,32,1,11.4100,187.93,90.81,0.13930,0.09169,50.00,0.13990,50.00,0.04417,421.63,2.465,0.5390,F
332,33,1,11.1100,169.57,89.70,0.02466,0.00600,50.00,0.00201,50.00,0.00226,847.84,0.336,0.2232,F
333,33,1,0.8900,168.89,211.53,0.03742,0.01854,50.00,0.01214,27.43,0.00001,0.00,0.579,0.7932,F
342,34,1,5.4300,170.42,345.28,0.03555,0.06224,50.00,0.00176,50.00,0.00283,389.20,0.415,0.3507,F
343,34,1,2.1400,170.23,176.77,0.02977,0.02751,50.00,0.01746,50.00,0.00729,144.35,0.409,0.6901,F
352,35,1,5.0500,180.19,286.16,0.18142,0.08556,50.00,0.25532,50.00,0.09313,156.42,3.145,0.6233,F
353,35,1,15.2100,185.26,100.75,0.10951,0.05699,50.00,0.09871,50.00,0.05949,386.84,1.834,0.8113,F
362,36,1,5.4800,188.44,284.96,0.18783,0.08872,50.00,0.04262,50.00,0.09145,254.71,3.240,0.6129,F
363,36,1,0.9500,171.44,97.07,0.03837,0.00552,50.00,0.00649,50.00,0.00385,35.71,0.609,0.6740,F
371,37,0,10.1300,204.09,321.06,0.04167,0.00400,50.00,0.00435,50.00,0.01815,610.62,0.587,0.5385,F
372,37,1,3.4100,197.21,264.85,0.11771,0.02042,50.00,0.08595,50.00,0.21394,83.99,2.216,0.5984,F
373,37,1,1.2000,197.30,42.31,0.13289,0.03914,50.00,0.07545,50.00,0.11595,1.57,2.534,0.8901,F
382,38,1,4.3600,182.61,311.09,0.19264,0.09072,50.00,0.22932,50.00,0.09555,138.85,3.489,0.6702,F
383,38,1,16.2900,180.51,111.42,0.06490,0.02834,50.00,0.02200,50.00,0.03985,604.41,1.010,0.5827,F
391,39,0,11.5500,203.45,297.91,0.09771,0.00834,50.00,0.01820,50.00,0.04120,538.20,1.641,0.3432,F
392,39,1,5.7800,189.79,241.16,0.16619,0.03509,50.00,0.15155,50.00,0.11495,160.56,3.081,0.7938,F
393,39,1,10.9300,187.38,25.05,0.18122,0.10429,50.00,0.10940,50.00,0.04818,392.63,3.339,0.3182,F
401,40,0,13.5200,190.74,106.48,0.11435,0.08621,50.00,0.10178,50.00,0.03991,513.70,2.062,0.6360,F
402,40,1,37.8700,186.87,358.12,0.13114,0.03400,50.00,0.00001,50.00,0.00232,691.69,2.377,0.4343,F
403,40,1,39.0100,184.98,145.04,0.10925,0.03068,50.00,0.12092,50.00,0.04774,489.56,1.979,0.6264,F
411,41,0,10.1800,185.70,143.74,0.07866,0.02868,50.00,0.02000,50.00,0.04218,549.20,1.229,0.6453,F
412,41,1,1.0900,171.33,3.81,0.01356,0.01000,50.00,0.00400,50.00,0.00446,17.78,0.170,0.6595,F
413,41,1,2.0800,174.26,129.20,0.08530,0.04820,50.00,0.09002,50.00,0.02783,100.21,1.298,0.8108,F
422,42,1,41.0400,186.64,344.34,0.10145,0.00800,50.00,0.01200,50.00,0.02846,822.34,1.745,0.4378,F
423,42,1,13.3300,175.47,155.99,0.05041,0.04000,50.00,0.00800,50.00,0.00984,294.71,0.751,0.6316,F
431,43,0,10.1000,198.09,12.20,0.07166,0.01800,50.00,0.00473,50.00,0.03628,571.69,1.156,0.5182,F
432,43,1,9.1100,189.11,326.98,0.09220,0.04351,50.00,0.05434,50.00,0.03559,459.56,1.500,0.5378,F
433,43,1,9.9200,191.93,75.49,0.09044,0.00400,50.00,0.04700,50.00,0.04785,309.56,1.495,0.6787,F
442,44,1,3.1000,184.22,29.77,0.15433,0.01735,50.00,0.09880,50.00,0.09198,144.71,2.515,0.6623,F
443,44,1,7.6900,182.99,188.16,0.04698,0.01517,50.00,0.03440,50.00,0.03578,421.27,0.661,0.8459,F
451,45,0,10.4900,214.07,60.24,0.04003,0.01000,50.00,0.01269,50.00,0.02085,583.41,0.586,0.5114,F
452,45,1,56.5000,202.19,337.82,0.08596,0.00800,50.00,0.00600,50.00,0.02252,657.19,1.418,0.4493,F
453,45,1,43.4200,200.26,102.27,0.08781,0.01000,50.00,0.01269,50.00,0.04028,662.05,1.421,0.5839,F
462,46,1,0.3800,179.52,72.31,0.17527,0.13734,50.00,0.14810,13.28,0.00001,0.00,2.156,0.6923,F
463,46,1,0.4100,177.48,198.56,0.03310,0.01283,50.00,0.05727,29.50,0.00001,0.00,0.528,0.7636,F
471,47,0,14.1200,217.56,53.39,0.02087,0.00400,50.00,0.00566,50.00,0.01351,575.12,0.303,0.6130,F
472,47,1,41.9000,206.35,353.07,0.05893,0.00800,50.00,0.00649,50.00,0.01316,697.19,0.918,0.6111,F
473,47,1,42.5800,200.93,110.71,0.06228,0.01214,50.00,0.02842,50.00,0.02754,524.41,0.960,0.6693,F
482,48,1,6.2600,185.43,62.94,0.09410,0.00800,50.00,0.01751,50.00,0.06572,234.71,1.602,0.6871,F
483,48,1,25.4800,191.32,208.62,0.06630,0.02206,50.00,0.04316,50.00,0.04733,455.06,0.982,0.7548,F
492,49,1,10.3500,191.25,354.29,0.06535,0.02243,50.00,0.03658,50.00,0.02626,562.70,1.014,0.5637,F
493,49,1,1.6700,186.68,182.43,0.10305,0.07607,50.00,0.07665,50.00,0.04288,52.28,1.660,0.8708,F
502,50,1,2.5000,188.50,333.31,0.11363,0.09792,50.00,0.05510,50.00,0.01152,33.99,1.791,0.7570,F
503,50,1,1.6800,190.24,145.36,0.08655,0.03800,50.00,0.06000,50.00,0.05916,111.57,1.291,0.8805,F
511,51,0,14.3600,220.20,92.07,0.01696,0.00201,50.00,0.00400,50.00,0.00794,673.99,0.238,0.4741,F
512,51,1,35.3600,207.72,343.52,0.05379,0.00400,50.00,0.00200,50.00,0.01314,760.98,0.801,0.5957,F
513,51,1,46.5500,208.87,94.62,0.05381,0.01000,50.00,0.00717,50.00,0.01731,872.05,0.802,0.6092,F
522,52,1,1.4400,190.94,5.83,0.12386,0.06800,50.00,0.17200,50.00,0.02340,49.14,2.140,0.8336,F
523,52,1,1.7600,189.50,172.97,0.07711,0.04200,50.00,0.07254,50.00,0.04712,125.71,1.192,0.8498,F
532,53,1,0.1900,186.66,55.01,0.03251,0.01804,29.14,0.00001,0.00,0.00001,0.00,0.333,0.2501,F
533,53,1,0.5100,189.87,169.98,0.09773,0.06007,50.00,0.05694,50.00,0.12186,11.57,1.393,0.9376,F
542,54,1,27.9600,203.00,13.93,0.07296,0.00600,50.00,0.00849,50.00,0.03246,690.98,1.133,0.5552,F
543,54,1,10.5500,199.19,155.09,0.07618,0.01303,50.00,0.01891,50.00,0.03970,410.62,1.182,0.7577,F
551,55,0,10.4400,217.11,39.21,0.03856,0.00717,50.00,0.00518,50.00,0.01613,801.69,0.585,0.4844,F
552,55,1,10.9600,208.23,346.48,0.07602,0.00766,50.00,0.00507,50.00,0.03745,502.34,1.223,0.5935,F
553,55,1,4.9200,207.86,100.37,0.07984,0.01606,50.00,0.02582,50.00,0.08139,100.21,1.299,0.8559,F
562,56,1,5.6300,203.07,32.85,0.09312,0.01735,50.00,0.02178,50.00,0.06347,245.42,1.474,0.7340,F
563,56,1,7.8700,203.49,178.76,0.06288,0.01897,50.00,0.01693,50.00,0.05169,281.27,0.932,0.7933,F
572,57,1,9.0200,209.74,331.75,0.05920,0.01503,50.00,0.01649,50.00,0.03135,479.20,0.903,0.6248,F
573,57,1,5.4300,208.00,107.23,0.07786,0.02200,50.00,0.06800,50.00,0.08687,93.64,1.263,0.9217,F
581,58,0,10.1700,221.03,55.22,0.01825,0.00318,50.00,0.00449,50.00,0.01294,526.48,0.270,0.6091,F
582,58,1,27.8900,218.08,359.12,0.04211,0.01069,50.00,0.00732,50.00,0.01250,880.98,0.611,0.4437,F
583,58,1,4.6600,214.64,99.23,0.06484,0.01214,50.00,0.01731,50.00,0.04714,166.42,0.984,0.8569,F
591,59,0,10.6200,219.04,35.88,0.02492,0.00600,50.00,0.00635,50.00,0.01586,560.27,0.366,0.5991,F
592,59,1,1.6000,212.51,356.85,0.10967,0.01454,50.00,0.15952,31.57,0.00001,0.00,1.784,0.7293,F
593,59,1,3.3600,214.10,111.57,0.05925,0.00951,50.00,0.00717,50.00,0.03237,278.49,0.989,0.7647,F
602,60,1,1.6100,203.60,28.06,0.11927,0.10600,50.00,0.07000,50.00,0.02343,51.21,1.775,0.7225,F
603,60,1,7.4300,207.95,185.84,0.06118,0.00824,50.00,0.01945,50.00,0.05524,198.49,0.911,0.8828,F
611,61,0,10.0000,221.78,35.83,0.01349,0.00634,50.00,0.00566,50.00,0.00780,545.77,0.203,0.5012,F
612,61,1,15.2600,213.70,354.72,0.04732,0.00800,50.00,0.00586,50.00,0.03006,394.41,0.693,0.6584,F
613,61,1,28.6400,217.05,82.22,0.03271,0.00683,50.00,0.00786,50.00,0.01568,882.76,0.479,0.5938,F
621,62,0,10.0600,217.43,29.15,0.01905,0.00400,50.00,0.01000,50.00,0.00969,763.41,0.271,0.6355,F
622,62,1,5.1300,211.31,39.65,0.04516,0.01121,50.00,0.02822,50.00,0.01075,114.35,0.637,0.6902,F
623,62,1,14.3100,213.05,153.73,0.03240,0.00400,50.00,0.00707,50.00,0.01218,389.91,0.460,0.6606,F
631,63,0,10.1300,212.74,93.77,0.02030,0.00400,50.00,0.00366,50.00,0.01382,529.56,0.285,0.5757,F
632,63,1,28.9400,205.95,48.57,0.05920,0.00800,50.00,0.00400,50.00,0.03075,419.91,0.891,0.6826,F
633,63,1,40.5000,204.96,177.64,0.04944,0.00600,50.00,0.01034,50.00,0.02147,767.90,0.726,0.6140,F
641,64,0,10.1300,203.70,154.43,0.03730,0.00931,50.00,0.01337,50.00,0.01913,630.98,0.528,0.5664,F
642,64,1,1.1600,194.60,113.03,0.10383,0.03793,50.00,0.17432,27.43,0.00001,0.00,1.477,0.6983,F
