Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
1,1363,2105,1363,2105,1,29598.82,162.84,0.00,0.00,0.00,0.00014,0,0,0,
2,1442,2005,1363,2105,1,29598.82,162.84,1472.38,1472.38,0.00,0.00014,0,22,23,
3,1466,1983,1443,2004,2,12.91,163.00,342.84,1815.22,1472.37,0.00001,31,32,33,
4,1484,1954,1442,2004,2,29571.15,163.00,767.40,2239.77,1472.37,0.00001,0,42,43,
5,1553,1924,1485,1954,4,29428.92,163.10,939.12,3178.89,2239.77,0.00033,0,52,53,
6,1563,1918,1554,1923,5,121.82,163.39,141.42,3320.31,3178.89,0.00142,0,62,63,
7,1801,1928,1564,1919,6,73.27,164.05,2724.09,6044.40,3320.31,0.00052,71,72,73,
8,1628,1884,1564,1918,6,46.15,164.27,1032.25,4352.56,3320.31,0.00098,81,82,83,
9,1696,1865,1553,1923,5,29281.56,163.67,2306.93,5485.82,3178.89,0.00027,0,92,93,
10,1792,1900,1697,1865,9,28995.87,164.09,1192.25,6678.07,5485.82,0.00034,0,102,103,
11,1997,1857,1793,1901,10,28928.20,164.63,2553.80,9231.89,6678.09,0.00020,0,112,113,
12,2059,1825,1998,1857,11,42.24,165.34,823.26,10055.17,9231.91,0.00122,121,122,123,
13,2031,1788,1998,1856,11,28837.54,164.99,931.25,10163.16,9231.91,0.00033,0,132,133,
14,2095,1755,2032,1787,13,45.67,165.85,796.69,10959.86,10163.17,0.00114,141,142,143,
15,2032,1777,2031,1787,13,28769.34,165.10,122.43,10285.59,10163.16,0.00001,0,152,153,
16,2116,1594,2033,1776,15,22202.12,165.29,2599.77,12885.41,10285.64,0.00024,0,162,163,
17,2118,1572,2116,1593,16,131.49,165.70,253.14,13138.55,12885.42,0.00001,0,172,173,
18,2246,1515,2119,1571,17,96.47,171.03,2068.82,15207.41,13138.59,0.00508,181,182,183,
19,2131,1514,2118,1571,17,32.29,166.69,930.83,14069.40,13138.57,0.00237,191,192,193,
20,2090,1545,2115,1593,16,21991.33,165.71,634.26,13519.69,12885.42,0.00017,0,202,203,
21,2100,1511,2091,1544,20,1779.16,166.15,395.56,13915.26,13519.69,0.00203,0,212,213,
22,2139,1475,2101,1510,21,49.06,167.10,663.55,14578.82,13915.27,0.00287,221,222,223,
23,2076,1469,2100,1510,21,1722.92,166.92,555.98,14471.25,13915.26,0.00073,0,232,233,
24,2078,1447,2076,1468,23,1697.06,167.00,281.42,14752.67,14471.25,0.00001,0,242,243,
25,2100,1444,2079,1447,24,1254.58,167.00,232.43,14985.10,14752.68,0.00001,0,252,253,
26,2232,1438,2101,1444,25,61.40,174.03,1800.24,16785.37,14985.12,0.01350,261,262,263,
27,2121,1401,2101,1443,25,1192.15,167.40,756.98,15742.09,14985.11,0.00080,0,272,273,
28,2137,1358,2122,1400,27,126.99,168.79,708.41,16450.51,15742.11,0.00410,0,282,283,
29,2144,1367,2138,1358,28,72.22,170.50,124.85,16575.37,16450.51,0.00001,0,292,293,
30,2236,1374,2145,1368,29,56.12,179.05,1513.67,18089.07,16575.40,0.01474,301,302,303,
31,2167,1361,2145,1367,29,14.13,176.62,263.14,16838.51,16575.37,0.04598,311,312,313,
32,2187,1320,2136,1357,28,32.34,182.22,865.69,17316.21,16450.52,0.03281,321,322,323,
33,2099,1373,2121,1400,27,1054.20,167.81,382.84,16124.94,15742.10,0.00157,0,332,333,
34,2099,1310,2100,1372,33,1027.62,169.02,730.42,16855.37,16124.95,0.00151,0,342,343,
35,2161,1305,2100,1309,34,194.09,169.30,768.41,17623.79,16855.38,0.00001,0,352,353,
36,2187,1295,2162,1305,35,160.48,169.74,313.14,17936.94,17623.80,0.00287,0,362,363,
37,2212,1304,2188,1295,36,14.74,187.55,287.28,18224.22,17936.94,0.09782,371,372,373,
38,2213,1274,2188,1294,36,139.31,170.41,521.13,18458.07,17936.95,0.00135,0,382,383,
39,2239,1298,2214,1274,38,28.26,176.08,500.42,18958.50,18458.08,0.03018,391,392,393,
40,2241,1169,2214,1273,38,90.40,172.93,1484.39,19942.49,18458.11,0.00297,401,402,403,
41,2174,1286,2162,1304,35,13.35,170.90,275.56,17899.36,17623.80,0.00762,411,412,413,
42,2116,1206,2099,1309,34,825.96,171.51,1521.96,18377.36,16855.40,0.00336,0,422,423,
43,2153,1195,2117,1205,42,29.13,178.94,429.71,18807.08,18377.37,0.02211,431,432,433,
