Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
22,,,2,1,7.9600,,163.41,,0.02260,345.96,0.294,,,,,0.00039,206.78,,,,0.09180,50.00,0.02420,50.00,,,,,,,,,1
23,,,2,1,6.8000,,163.30,,0.02201,130.34,0.286,,,,,0.00001,160.56,,,,0.03600,50.00,0.00200,50.00,,,,,,,,,1
31,,,3,0,10.7600,,165.05,,0.05433,328.07,0.631,,,,,0.00179,1123.82,,,,0.07200,50.00,0.00001,50.00,,,,,,,,,1
32,,,3,1,2.0100,,163.83,,0.02683,331.97,0.336,,,,,0.00211,118.14,,,,0.07200,50.00,0.01703,50.00,,,,,,,,,1
33,,,3,1,0.1400,,163.01,,0.00058,41.71,0.039,,,,,0.00001,0.00,,,,0.00001,35.36,0.00001,0.00,,,,,,,,,1
42,,,4,1,3.2000,,163.24,,0.01371,12.29,0.177,,,,,0.00001,231.63,,,,0.00001,50.00,0.00001,50.00,,,,,,,,,1
43,,,4,1,7.8500,,163.31,,0.01742,116.15,0.220,,,,,0.00001,331.27,,,,0.04397,50.00,0.00001,50.00,,,,,,,,,1
52,,,5,1,14.8500,,164.00,,0.02650,328.19,0.327,,,,,0.00251,678.91,,,,0.05142,50.00,0.00459,50.00,,,,,,,,,1
53,,,5,1,10.6900,,163.81,,0.01350,80.64,0.185,,,,,0.00502,318.85,,,,0.00800,50.00,0.00600,50.00,,,,,,,,,1
62,,,6,1,0.8100,,163.55,,0.00564,342.65,0.091,,,,,0.00140,78.14,,,,0.00614,50.00,0.00586,50.00,,,,,,,,,1
63,,,6,1,1.5900,,163.65,,0.01187,72.66,0.141,,,,,0.00137,92.28,,,,0.01000,50.00,0.00049,50.00,,,,,,,,,1
71,,,7,0,10.3000,,165.74,,0.03438,19.32,0.439,,,,,0.00110,749.26,,,,0.07200,50.00,0.00566,50.00,,,,,,,,,1
72,,,7,1,20.5900,,165.07,,0.05017,288.39,0.636,,,,,0.00271,220.92,,,,0.01000,50.00,0.00001,50.00,,,,,,,,,1
73,,,7,1,42.3800,,164.50,,0.01474,58.57,0.195,,,,,0.00037,828.26,,,,0.03200,50.00,0.00200,50.00,,,,,,,,,1
81,,,8,0,10.4000,,165.28,,0.01285,11.64,0.188,,,,,0.00113,621.99,,,,0.01200,50.00,0.00001,50.00,,,,,,,,,1
82,,,8,1,23.3000,,164.86,,0.00986,328.50,0.150,,,,,0.00104,873.11,,,,0.01083,50.00,0.00717,50.00,,,,,,,,,1
83,,,8,1,12.4500,,164.93,,0.00954,99.46,0.150,,,,,0.00185,325.42,,,,0.01000,50.00,0.00201,50.00,,,,,,,,,1
92,,,9,1,19.4700,,164.09,,0.01835,311.46,0.236,,,,,0.00026,397.84,,,,0.03200,50.00,0.00200,50.00,,,,,,,,,1
93,,,9,1,32.2900,,180.09,,0.13369,71.03,2.446,,,,,0.05739,747.90,,,,0.00800,50.00,0.00952,50.00,,,,,,,,,1
102,,,10,1,15.5400,,164.30,,0.00860,297.51,0.126,,,,,0.00035,883.47,,,,0.00942,50.00,0.02059,50.00,,,,,,,,,1
103,,,10,1,20.6600,,164.87,,0.02336,46.84,0.287,,,,,0.00044,917.90,,,,0.00199,50.00,0.00001,50.00,,,,,,,,,1
112,,,11,1,28.7800,,165.35,,0.02743,311.14,0.349,,,,,0.00001,608.20,,,,0.07800,50.00,0.00198,50.00,,,,,,,,,1
113,,,11,1,19.6400,,165.16,,0.01877,84.58,0.230,,,,,0.00230,473.35,,,,0.01507,50.00,0.00425,50.00,,,,,,,,,1
121,,,12,0,10.3600,,166.23,,0.02694,87.61,0.327,,,,,0.00001,678.26,,,,0.00597,50.00,0.00001,50.00,,,,,,,,,1
122,,,12,1,17.1000,,165.97,,0.02614,304.44,0.324,,,,,0.00191,524.41,,,,0.05600,50.00,0.00001,50.00,,,,,,,,,1
123,,,12,1,14.7800,,165.59,,0.01350,76.34,0.172,,,,,0.00188,657.90,,,,0.00800,50.00,0.00138,50.00,,,,,,,,,1
132,,,13,1,7.7500,,165.31,,0.01033,51.85,0.138,,,,,0.00167,419.91,,,,0.08000,50.00,0.00400,50.00,,,,,,,,,1
133,,,13,1,14.7800,,165.49,,0.01161,120.19,0.163,,,,,0.00055,365.77,,,,0.03371,50.00,0.00829,50.00,,,,,,,,,1
141,,,14,0,13.2400,,166.80,,0.03586,23.06,0.457,,,,,0.00070,868.55,,,,0.00400,50.00,0.00201,50.00,,,,,,,,,1
142,,,14,1,11.6500,,166.49,,0.02988,334.55,0.372,,,,,0.00001,534.77,,,,0.05428,50.00,0.01170,50.00,,,,,,,,,1
143,,,14,1,20.7800,,166.41,,0.01316,101.26,0.176,,,,,0.00091,664.77,,,,0.00800,50.00,0.00201,50.00,,,,,,,,,1
152,,,15,1,0.6500,,165.29,,0.01164,8.43,0.145,,,,,0.00001,7.78,,,,0.01398,50.00,0.00001,50.00,,,,,,,,,1
