Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
1,OUTLET,,162.84,0.00014,,,,0.00,,,,,,,,,,,,,,,,,,,1
2,1,,162.84,0.00014,,,,1472.38,,,,,,,,,,,,,,,,,,,1
3,2,,163.00,0.00001,,,,342.84,,,,,,,,,,,,,,,,,,,1
4,2,,163.00,0.00001,,,,767.40,,,,,,,,,,,,,,,,,,,1
5,4,,163.10,0.00033,,,,939.12,,,,,,,,,,,,,,,,,,,1
6,5,,163.39,0.00142,,,,141.42,,,,,,,,,,,,,,,,,,,1
7,6,,164.05,0.00052,,,,2724.09,,,,,,,,,,,,,,,,,,,1
8,6,,164.27,0.00098,,,,1032.25,,,,,,,,,,,,,,,,,,,1
9,5,,163.67,0.00027,,,,2306.93,,,,,,,,,,,,,,,,,,,1
10,9,,164.09,0.00034,,,,1192.25,,,,,,,,,,,,,,,,,,,1
11,10,,164.63,0.00020,,,,2553.80,,,,,,,,,,,,,,,,,,,1
12,11,,165.34,0.00122,,,,823.26,,,,,,,,,,,,,,,,,,,1
13,11,,164.99,0.00033,,,,931.25,,,,,,,,,,,,,,,,,,,1
14,13,,165.85,0.00114,,,,796.69,,,,,,,,,,,,,,,,,,,1
15,13,,165.10,0.00001,,,,122.43,,,,,,,,,,,,,,,,,,,1
16,15,,165.29,0.00024,,,,2599.77,,,,,,,,,,,,,,,,,,,1
17,16,,165.70,0.00001,,,,253.14,,,,,,,,,,,,,,,,,,,1
18,17,,171.03,0.00508,,,,2068.82,,,,,,,,,,,,,,,,,,,1
19,17,,166.69,0.00237,,,,930.83,,,,,,,,,,,,,,,,,,,1
20,16,,165.71,0.00017,,,,634.26,,,,,,,,,,,,,,,,,,,1
21,20,,166.15,0.00203,,,,395.56,,,,,,,,,,,,,,,,,,,1
22,21,,167.10,0.00287,,,,663.55,,,,,,,,,,,,,,,,,,,1
23,21,,166.92,0.00073,,,,555.98,,,,,,,,,,,,,,,,,,,1
24,23,,167.00,0.00001,,,,281.42,,,,,,,,,,,,,,,,,,,1
25,24,,167.00,0.00001,,,,232.43,,,,,,,,,,,,,,,,,,,1
26,25,,174.03,0.01350,,,,1800.24,,,,,,,,,,,,,,,,,,,1
27,25,,167.40,0.00080,,,,756.98,,,,,,,,,,,,,,,,,,,1
28,27,,168.79,0.00410,,,,708.41,,,,,,,,,,,,,,,,,,,1
29,28,,170.50,0.00001,,,,124.85,,,,,,,,,,,,,,,,,,,1
30,29,,179.05,0.01474,,,,1513.67,,,,,,,,,,,,,,,,,,,1
31,29,,176.62,0.04598,,,,263.14,,,,,,,,,,,,,,,,,,,1
32,28,,182.22,0.03281,,,,865.69,,,,,,,,,,,,,,,,,,,1
33,27,,167.81,0.00157,,,,382.84,,,,,,,,,,,,,,,,,,,1
34,33,,169.02,0.00151,,,,730.42,,,,,,,,,,,,,,,,,,,1
