Soil_ID,Hydrologic_Soil_Group,K_Factor,Albedo,Time_to_Consolidation,Impervious_Depth,Specific_Gravity,Initial_Soil_Conditions_ID,Soil_Name,Soil_Texture,Number_of_Soil_Layers,Input_Units_Code
BdUXB,D,    0.0487,    0.2900,,,,,Blount,Silt loam,     9,1
Ble1A1,D,    0.0487,    0.2900,,,,,Glynwood,Silt loam,    10,1
Ble1B1,D,    0.0487,    0.3000,,,,,Blount,Silt loam,     9,1
Blg1A1,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,    10,1
Blg1B1,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,     9,1
Blg2A1,D,    0.0487,    0.3000,,,,,Blount,Loam,    11,1
BoB2,D,    0.0566,    0.2900,,,,,Blount,Silt loam,    10,1
BuUXA,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,    10,1
Ca,A,    0.0053,    0.0900,,,,,Carlisle,Muck,    10,1
Cb,A,    0.0053,    0.0900,,,,,Carlisle,Muck,     8,1
CyA,B,    0.0421,    0.3000,, 1270.0000,,,Cygnet,Loam,     2,1
Dc,C,    0.0369,    0.3000,,,,,Defiance,Silty clay,     3,1
DdA,D,    0.0487,    0.3000,,,,,Del Rey,Silt loam,     3,1
DeA,D,    0.0487,    0.3700,,,,,Del Rey,Silt loam,     4,1
DgA,D,    0.0566,    0.3000,,,,,Del Rey,Silt loam,     3,1
DmA,B,    0.0421,    0.3000,,,,,Digby,Loam,     4,1
DmB,B,    0.0421,    0.3000,,,,,Digby,Loam,     4,1
DoA,C,    0.0566,    0.3000,,,,,Digby Variant,Silt loam,     4,1
DuA,D,    0.0487,    0.3700,,,,,Del Rey,Silt loam,     4,1
DxA,B,    0.0421,    0.3000,,,,,Digby,Loam,     3,1
Ed,B,    0.0053,    0.1600,,,,,Edwards,Muck,     2,1
Ee,C,    0.0487,    0.2900,,,,,Genesee,Silt loam,    10,1
EkB,B,    0.0566,    0.3000,,,,,Eldean,Silt loam,     4,1
ElB,B,    0.0421,    0.3000,,,,,Eldean,Loam,     4,1
ElC2,B,    0.0487,    0.3000,,,,,Eldean,Loam,     4,1
EmB,B,    0.0421,    0.3000,,,,,Eldean,Loam,     4,1
EmC,B,    0.0421,    0.3000,,,,,Eldean,Loam,     4,1
EnA,B,    0.0566,    0.3000,,,,,Eldean,Silt loam,     4,1
EoB,C,    0.0369,    0.1600,,,,,Elliott,Silt loam,     3,1
EuB,B,    0.0421,    0.3000,,,,,Eldean,Loam,     4,1
GaB,A,    0.0263,    0.3000,,,,,Gallman,Sandy loam,     5,1
GbB,B,    0.0487,    0.3000,,,,,Gallman,Loam,     2,1
GdM5B3,D,    0.0487,    0.4800,,,,,Mississinewa,Clay loam,    13,1
GdUXB,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,     8,1
GgM5B3,D,    0.0487,    0.4800,,,,,Mississinewa,Clay loam,    13,1
Gn,C,    0.0487,    0.2900,,,,,Genesee,Silt loam,    10,1
GuA,B,    0.0421,    0.2900,,,,,Shoals,Silt loam,    10,1
Gwd1C1,D,    0.0487,    0.3000,,,,,Blount,Silt loam,     8,1
Gwd5C2,D,    0.0487,    0.3700,,  740.0000,,,Glynwood,Clay loam,     9,1
Gwe1B1,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,     9,1
Gwe1B2,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,    10,1
Gwg1B1,D,    0.0487,    0.2900,,,,,Blount,Silt loam,     8,1
Gwg1B2,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,    10,1
Gwg5C2,D,    0.0487,    0.3700,,,,,Glynwood,Clay loam,    10,1
Gwg5C3,D,    0.0421,    0.4400,,,,,Glynwood,Clay loam,    10,1
GwM5C3,D,    0.0487,    0.4800,,  360.0000,,,Mississinewa,Clay loam,    12,1
GwUXC2,D,    0.0487,    0.3700,,  740.0000,,,Glynwood,Clay loam,     9,1
GxD3,D,    0.0369,    0.3700,,,,,Glynwood,Clay loam,     3,1
Gye1B2,D,    0.0566,    0.4800,,,,,Mississinewa,Clay loam,    13,1
Gyg1B2,D,    0.0566,    0.4800,,,,,Mississinewa,Clay loam,    13,1
GzB,C,    0.0566,    0.3000,, 1010.0000,,,Glynwood,Silt loam,     3,1
HkA,D,    0.0487,    0.3000,,,,,Blount,Loam,    12,1
HkB,C,    0.0421,    0.2900,,,,,Haskins,Loam,    13,1
HnA,D,    0.0487,    0.3000,,,,,Blount,Loam,    12,1
HnB,C,    0.0421,    0.2900,,,,,Haskins,Loam,    13,1
HrB,C,    0.0487,    0.3000,, 1270.0000,,,Houcktown,Loam,     4,1
Kn,B,    0.0487,    0.3000,,,,,Knoxdale,Silt loam,     3,1
La,D,    0.0369,    0.3000,,,,,Latty,Silty clay,     3,1
McA,D,    0.0487,    0.3000,,,,,McGary,Silt loam,     6,1
McB,D,    0.0487,    0.3700,,,,,McGary,Silty clay loam,     3,1
MdA,D,    0.0487,    0.3700,,,,,McGary,Silty clay loam,     3,1
Me,C,    0.0566,    0.2900,,,,,Del Rey,Silt loam,     7,1
Mf,C,    0.0316,    0.0900,,,,,Milford,Silty clay,     5,1
Mg,B,    0.0316,    0.2300,,,,,Millgrove,Silty clay loam,     3,1
Mh,C,    0.0421,    0.2300,,  640.0000,,,Millsdale,Silty clay loam,     2,1
Mk,B,    0.0263,    0.0900,,,,,Millgrove,Clay loam,     3,1
MlA,B,    0.0263,    0.0900,,,,,Millgrove,Clay loam,     3,1
Mnl3A,B,    0.0421,    0.1600,,,,,Wallkill,Silt loam,     8,1
Mns3A,C,    0.0566,    0.3000,,,,,McGary,Silt loam,     8,1
MnUXA,C,    0.0566,    0.3000,,,,,McGary,Silt loam,     8,1
Mny3A,B,    0.0566,    0.3000,,,,,Sleeth,Silt loam,     8,1
MrD2,D,    0.0421,    0.3000,,,,,Glynwood,Clay loam,    13,1
MrE2,C,    0.0487,    0.3300,,,,,Hennepin,Loam,    12,1
MsD3,C,    0.0421,    0.3300,,,,,Hennepin,Loam,    10,1
Mu,C,    0.0053,    0.0200,,,,,Muskego,Muck,     2,1
OcA,B,    0.0421,    0.3000,,,,,Ockley,Loam,     4,1
OcB,B,    0.0421,    0.3000,,,,,Ockley,Loam,     4,1
On,B,    0.0421,    0.0900,,,,,Olentangy,Mucky silt loam,     2,1
Pm,D,    0.0487,    0.2900,,,,,Blount,Silt loam,    10,1
Pn,C,    0.0421,    0.2300,,,,,Pewamo,Silty clay loam,     3,1
Po,D,    0.0487,    0.2900,,,,,Blount,Silt loam,    12,1
Pt,D,    0.0487,    0.2900,,,,,Blount,Silt loam,    10,1
PuA,D,    0.0487,    0.2900,,,,,Blount,Silt loam,    10,1
RmB,C,    0.0421,    0.3000,,,,,Rawson,Loam,     3,1
RuB,C,    0.0421,    0.3000,,,,,Rawson,Loam,     3,1
Sac3AF,C,    0.0369,    0.2300,,,,,Saranac,Silty clay loam,     8,1
SaS3AF,B,    0.0263,    0.2300,,,,,Shoals,Silty clay loam,     7,1
Sc,C,    0.0369,    0.2300,,,,,Saranac,Silty clay loam,     3,1
Sho1AO,C,    0.0421,    0.2900,,,,,Eel,Silt loam,     7,1
Sho3AF,B,    0.0316,    0.2300,,,,,Shoals,Silty clay loam,     7,1
ShUXAF,B,    0.0316,    0.2300,,,,,Shoals,Silty clay loam,     7,1
ShUXAO,C,    0.0421,    0.2900,,,,,Eel,Silt loam,     7,1
Sk,B,    0.0487,    0.3000,,,,,Shoals,Silt loam,     3,1
So,B,    0.0369,    0.2900,,,,,Shoals,Silty clay loam,     6,1
Sr,B,    0.0316,    0.2300,,,,,Sloan,Silty clay loam,     4,1
ThB,B,    0.0316,    0.3000,,,,,Thackery,Sandy loam,     4,1
TkA,B,    0.0369,    0.3000,,,,,Thackery,Loam,     3,1
UbBXB,D,    0.0487,    0.2900,,,,,Blount,Silt loam,     9,1
UeB,B,    0.0421,    0.3000,,,,,Eldean,Loam,     4,1
UeGXB,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,     8,1
UgBXA,D,    0.0487,    0.3000,,,,,Glynwood,Silt loam,    10,1
UhA,C,    0.0566,    0.3700,,,,,Haskins,Silt loam,     3,1
UkA,B,    0.0421,    0.3000,,,,,Digby,Loam,     3,1
UnHXAF,B,    0.0316,    0.2300,,,,,Shoals,Silty clay loam,     7,1
UnHXAO,C,    0.0421,    0.2900,,,,,Eel,Silt loam,     7,1
