Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
Aa,     1,  180.0000,    1.8000,    0.6000,    0.3820,    0.0180,,    0.0050,    0.0000,    0.7560,    0.3950,    0.3550,,,,    5.0000,    0.0250,,,,,,1
Aa,     2,  740.0000,    1.9000,    0.7500,    0.2320,    0.0180,,    0.0060,    0.0000,    0.7560,    0.4330,    0.4050,,,,    5.0000,    0.0025,,,,,,1
Aa,     3, 1930.0000,    1.8500,    0.6750,    0.3070,    0.0180,,    0.0050,    0.0000,    0.7560,    0.4220,    0.3650,,,,    6.5000,    0.0025,,,,,,1
Aa,     4, 2130.0000,    1.7100,    0.2900,    0.5210,    0.1890,,    0.1150,    0.0000,   10.1520,    0.3160,    0.1770,,,,    7.5000,    0.0025,,,,,,1
Ab,     1,  180.0000,    1.8000,    0.6000,    0.3820,    0.0180,,    0.0050,    0.0000,    0.7560,    0.3950,    0.3550,,,,    5.0000,    0.0250,,,,,,1
Ab,     2,  740.0000,    1.9000,    0.7500,    0.2320,    0.0180,,    0.0060,    0.0000,    0.7560,    0.4330,    0.4050,,,,    5.0000,    0.0025,,,,,,1
Ab,     3, 1930.0000,    1.8500,    0.6750,    0.3070,    0.0180,,    0.0050,    0.0000,    0.7560,    0.4220,    0.3650,,,,    6.5000,    0.0025,,,,,,1
Ab,     4, 2130.0000,    1.7100,    0.2900,    0.5210,    0.1890,,    0.1150,    0.0000,   10.1520,    0.3160,    0.1770,,,,    7.5000,    0.0025,,,,,,1
Ac,     1,  180.0000,    1.6500,    0.2350,    0.6000,    0.1650,,    0.0670,    0.0000,   10.1520,    0.3100,    0.1690,,,,    5.0000,    0.0250,,,,,,1
Ac,     2,  740.0000,    1.9000,    0.7500,    0.2320,    0.0180,,    0.0060,    0.0000,    0.7560,    0.4330,    0.4050,,,,    5.0000,    0.0025,,,,,,1
Ac,     3, 1930.0000,    1.8500,    0.6750,    0.3070,    0.0180,,    0.0050,    0.0000,    0.7560,    0.4220,    0.3650,,,,    6.5000,    0.0025,,,,,,1
Ac,     4, 2130.0000,    1.7100,    0.2900,    0.5210,    0.1890,,    0.1150,    0.0000,   10.1520,    0.3160,    0.1770,,,,    7.5000,    0.0025,,,,,,1
Ad,     1,   80.0000,    1.5300,    0.1500,    0.5300,    0.3200,,    0.2920,    0.0000,   32.4000,    0.2610,    0.1030,,,,    5.3000,    0.0100,,,,,,1
Ad,     2,  100.0000,    1.6800,    0.3500,    0.6000,    0.0500,,    0.0270,    0.0000,    9.7200,    0.3440,    0.2260,,,,    5.2000,    0.0250,,,,,,1
Ad,     3,  220.0000,    1.5400,    0.1400,    0.5200,    0.3400,,    0.2950,    0.0000,   32.4000,    0.2470,    0.0890,,,,    5.3000,    0.0035,,,,,,1
Ad,     4,  340.0000,    1.5800,    0.2300,    0.4800,    0.2900,,    0.2350,    0.0000,   32.4000,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
Ad,     5,  480.0000,    1.9000,    0.5500,    0.4320,    0.0180,,    0.0110,    0.0000,    0.7560,    0.3490,    0.3020,,,,    5.2000,    0.0050,,,,,,1
Ad,     6,  580.0000,    1.5600,    0.2200,    0.4100,    0.3700,,    0.2740,    0.0000,   32.4000,    0.2860,    0.1350,,,,    5.4000,    0.0020,,,,,,1
Ad,     7,  870.0000,    1.6900,    0.1400,    0.3300,    0.5300,,    0.4230,    0.0000,  100.8000,    0.2020,    0.1070,,,,    5.6000,    0.0008,,,,,,1
Ad,     8, 1120.0000,    1.8800,    0.6500,    0.3320,    0.0180,,    0.0110,    0.0000,    0.7560,    0.4410,    0.3420,,,,    6.8000,    0.0025,,,,,,1
Ad,     9, 1370.0000,    1.8500,    0.4500,    0.4200,    0.1300,,    0.0810,    0.0000,    3.2760,    0.3220,    0.2480,,,,    5.1000,    0.0010,,,,,,1
Ad,    10, 1600.0000,    1.6400,    0.3000,    0.5110,    0.1890,,    0.1150,    0.0000,   32.4000,    0.3150,    0.1760,,,,    7.2000,    0.0010,,,,,,1
Ad,    11, 1900.0000,    1.5500,    0.1000,    0.3000,    0.6000,,    0.2000,    0.0000,  100.8000,    0.1670,    0.0700,,,,    7.2000,    0.0010,,,,,,1
Ad,    12, 2080.0000,    1.5500,    0.0700,    0.3900,    0.5400,,    0.4500,    0.0000,  100.8000,    0.1430,    0.0500,,,,    6.7000,    0.0007,,,,,,1
Ad,    13, 2250.0000,    1.5000,    0.0900,    0.1300,    0.7800,,    0.2720,    0.0000,  100.8000,    0.1560,    0.0610,,,,    7.0000,    0.0005,,,,,,1
Ae,     1,  180.0000,    1.6500,    0.3350,    0.4780,    0.1870,,    0.1130,    0.0000,   10.1520,    0.3440,    0.2260,,,,    5.0000,    0.0250,,,,,,1
Ae,     2,  740.0000,    1.9000,    0.7500,    0.2320,    0.0180,,    0.0060,    0.0000,    0.7560,    0.4330,    0.4050,,,,    5.0000,    0.0025,,,,,,1
Ae,     3, 1930.0000,    1.8500,    0.6750,    0.3070,    0.0180,,    0.0050,    0.0000,    0.7560,    0.4220,    0.3650,,,,    6.5000,    0.0025,,,,,,1
