Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
22,Fa,,2,1,2.4093,,71.37,,0.11689,141.0,0.922,,,,,0.03933,119.29,,,,0.01567,50.0,0.0085,50.0,,,,,,,,,1
23,Gu,,2,1,25.3161,,78.95,,0.11773,289.61,0.927,,,,,0.02223,960.22,,,,0.0617,50.0,0.09739,50.0,,,,,,,,,1
31,Gs,,3,0,17.5698,,82.33,,0.08892,123.7,0.753,,,,,0.02516,645.31,,,,0.04438,50.0,0.06897,50.0,,,,,,,,,1
32,Fa,,3,1,1.0053,,73.08,,0.09088,93.8,0.667,,,,,0.1294,21.84,,,,0.024,50.0,0.012,50.0,,,,,,,,,1
33,Fa,,3,1,8.0532,,78.22,,0.06188,145.35,0.532,,,,,0.02425,679.12,,,,0.05404,50.0,0.10856,50.0,,,,,,,,,1
42,Fa,,4,1,1.2888,,72.17,,0.06577,146.27,0.5,,,,,0.03199,131.29,,,,0.004,50.0,1e-05,50.0,,,,,,,,,1
43,Fa,,4,1,0.315,,70.85,,0.14612,310.4,1.082,,,,,1e-05,0.0,,,,0.06,50.0,0.03134,48.14,,,,,,,,,1
52,Fa,,5,1,1.1736,,71.24,,0.12405,114.9,0.954,,,,,1e-05,0.0,,,,0.05167,50.0,0.05141,22.68,,,,,,,,,1
53,Fa,,5,1,3.7629,,74.97,,0.09908,277.25,0.795,,,,,0.03207,256.9,,,,0.12013,50.0,0.07128,50.0,,,,,,,,,1
61,MlF2,,6,0,15.9984,,80.68,,0.0783,145.33,0.699,,,,,0.0098,671.72,,,,0.09357,50.0,0.07774,50.0,,,,,,,,,1
62,Co,,6,1,9.378,,81.18,,0.07073,122.07,0.606,,,,,0.05034,429.8,,,,0.03274,50.0,0.00653,50.0,,,,,,,,,1
63,Fa,,6,1,10.827,,76.99,,0.0258,215.25,0.229,,,,,0.01461,860.74,,,,0.0125,50.0,0.06704,50.0,,,,,,,,,1
72,Fa,,7,1,2.6559,,72.64,,0.08508,181.32,0.658,,,,,0.01725,243.55,,,,0.01,50.0,0.00201,50.0,,,,,,,,,1
73,LoE2,,7,1,12.8448,,82.28,,0.09424,299.78,0.821,,,,,0.03186,724.76,,,,0.035,50.0,0.10127,50.0,,,,,,,,,1
82,Fa,,8,1,2.6055,,74.55,,0.07522,142.85,0.603,,,,,0.01562,268.9,,,,0.00509,50.0,0.00291,50.0,,,,,,,,,1
83,Fa,,8,1,0.6498,,73.14,,0.18962,288.95,1.533,,,,,1e-05,0.0,,,,0.092,50.0,1e-05,8.71,,,,,,,,,1
91,Fa,,9,0,23.0283,,80.19,,0.04122,143.22,0.355,,,,,0.00704,1038.82,,,,0.04715,50.0,0.06271,50.0,,,,,,,,,1
92,Fa,,9,1,6.1524,,79.28,,0.04002,139.43,0.353,,,,,0.02288,403.3,,,,0.01319,50.0,0.10426,50.0,,,,,,,,,1
93,Fa,,9,1,3.9159,,75.75,,0.00836,250.65,0.091,,,,,0.00176,249.27,,,,0.002,50.0,0.00524,50.0,,,,,,,,,1
102,Fa,,10,1,0.342,,73.05,,0.16724,153.56,1.26,,,,,1e-05,0.0,,,,0.09506,34.71,1e-05,0.0,,,,,,,,,1
103,Fa,,10,1,1.9917,,77.05,,0.14068,319.8,1.149,,,,,0.02475,224.29,,,,0.07654,50.0,0.13345,50.0,,,,,,,,,1
112,Fa,,11,1,2.8584,,74.71,,0.12956,144.27,1.007,,,,,0.04242,99.02,,,,0.01,50.0,0.00599,50.0,,,,,,,,,1
113,MnF2,,11,1,24.6492,,83.39,,0.08718,305.84,0.735,,,,,0.02557,950.74,,,,0.04133,50.0,0.03243,50.0,,,,,,,,,1
122,Gu,,12,1,3.2355,,83.46,,0.0651,175.29,0.528,,,,,0.02212,588.5,,,,0.03719,50.0,0.0745,50.0,,,,,,,,,1
123,Cm,,12,1,0.1089,,76.65,,0.14053,331.84,1.079,,,,,1e-05,0.0,,,,0.06306,45.99,1e-05,0.0,,,,,,,,,1
131,Gu,,13,0,18.8415,,83.73,,0.05331,184.08,0.452,,,,,0.01882,734.49,,,,0.0687,50.0,0.07078,50.0,,,,,,,,,1
132,CaB,,13,1,1.4238,,78.54,,0.01851,137.37,0.163,,,,,0.00994,201.15,,,,0.014,50.0,0.01,50.0,,,,,,,,,1
133,Cm,,13,1,0.1836,,77.6,,0.01705,289.28,0.17,,,,,1e-05,0.0,,,,0.00529,37.71,1e-05,0.0,,,,,,,,,1
142,Cm,,14,1,0.4437,,76.52,,0.15326,160.8,1.199,,,,,1e-05,0.0,,,,0.05599,50.0,1e-05,2.09,,,,,,,,,1
