Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
BdUXB,     1,  230.0000,    1.5000,    0.2400,    0.5400,    0.2200,    0.0300,    0.0600,    0.0000,   33.0120,    0.3000,    0.1700,,,,    6.4000,    0.0200,,,,,,1
BdUXB,     2,  280.0000,    1.6600,    0.3500,    0.5000,    0.1500,    0.0200,    0.0500,    0.0000,   33.0120,    0.3500,    0.2500,,,,    6.4000,    0.0500,,,,,,1
BdUXB,     3,  740.0000,    1.8200,    0.4200,    0.3600,    0.2200,    0.0500,    0.0700,    0.0000,    3.3120,    0.3200,    0.2300,,,,    6.2000,    0.0075,,,,,,1
BdUXB,     4,  810.0000,    1.8000,    0.4200,    0.4200,    0.1600,    0.0400,    0.0500,    0.0000,    3.3120,    0.3000,    0.2200,,,,    6.5000,    0.0050,,,,,,1
BdUXB,     5,  860.0000,    1.8300,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.3100,    0.2400,,,,    6.4000,    0.0125,,,,,,1
BdUXB,     6,  910.0000,    2.0200,    0.3600,    0.4000,    0.2400,    0.0800,    0.0700,    0.1200,    3.3120,    0.2700,    0.2600,,,,    7.3000,    0.0050,,,,,,1
BdUXB,     7,  940.0000,    2.0000,    0.3500,    0.4000,    0.2500,    0.0600,    0.0700,    0.1200,    3.3120,    0.2500,    0.2300,,,,    7.6000,    0.0025,,,,,,1
BdUXB,     8, 1450.0000,    1.8300,    0.4200,    0.3800,    0.2000,    0.0400,    0.0500,    0.0000,   10.1520,    0.3200,    0.2400,,,,    7.0000,    0.0125,,,,,,1
BdUXB,     9, 2000.0000,    2.0500,    0.3300,    0.4500,    0.2200,    0.0700,    0.0600,    0.2400,    2.6640,    0.2200,    0.2000,,,,    8.0000,    0.0025,,,,,,1
Ble1A1,     1,  230.0000,    1.5800,    0.2400,    0.5400,    0.2200,    0.0300,    0.0600,    0.0000,   10.1520,    0.2900,    0.1500,,,,    6.2000,    0.0150,,,,,,1
