Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
312,,,2,1,13.70700,,93.29000,,0.06697,176.57000,0.54500,,,,,0.01890,602.14000,,,,0.02602,50.00000,0.15436,50.00000,,,,,,,,,1
313,,,2,1,16.54110,,96.71000,,0.09346,326.96000,0.78100,,,,,0.02851,651.61000,,,,0.03719,50.00000,0.02323,50.00000,,,,,,,,,1
322,,,3,1,2.28870,,90.47000,,0.07128,150.39000,0.55400,,,,,0.01840,239.21000,,,,0.03000,50.00000,0.04799,50.00000,,,,,,,,,1
323,,,3,1,3.59550,,91.49000,,0.05012,236.06000,0.42100,,,,,0.02314,319.51000,,,,0.08820,50.00000,0.07263,50.00000,,,,,,,,,1
331,,,4,0,15.00030,,101.41000,,0.08485,152.83000,0.73100,,,,,0.01909,811.98000,,,,0.02626,50.00000,0.00974,50.00000,,,,,,,,,1
332,,,4,1,0.14580,,90.28000,,0.12497,86.90000,0.86100,,,,,0.00001,0.00000,,,,0.04400,50.00000,0.00001,5.82000,,,,,,,,,1
333,,,4,1,0.16110,,91.36000,,0.10438,207.86000,0.80000,,,,,0.00001,0.00000,,,,0.03836,50.00000,0.05769,25.68000,,,,,,,,,1
342,,,5,1,1.65870,,91.77000,,0.06685,144.30000,0.52600,,,,,0.02995,192.66000,,,,0.08500,50.00000,0.03958,50.00000,,,,,,,,,1
343,,,5,1,1.18530,,92.69000,,0.09707,287.23000,0.80100,,,,,0.08444,83.60000,,,,0.06228,50.00000,0.07453,50.00000,,,,,,,,,1
351,,,6,0,15.07050,,104.20000,,0.06424,202.37000,0.54600,,,,,0.01880,678.70000,,,,0.02285,50.00000,0.02494,50.00000,,,,,,,,,1
352,,,6,1,3.42450,,98.24000,,0.10831,90.62000,0.94100,,,,,0.04944,91.67000,,,,0.08196,50.00000,0.05677,50.00000,,,,,,,,,1
353,,,6,1,5.11650,,96.85000,,0.08724,214.56000,0.73200,,,,,0.02997,364.19000,,,,0.04100,50.00000,0.06272,50.00000,,,,,,,,,1
362,,,7,1,3.55860,,96.49000,,0.10856,143.20000,0.90900,,,,,0.04349,249.15000,,,,0.04900,50.00000,0.06831,50.00000,,,,,,,,,1
363,,,7,1,11.01870,,97.98000,,0.08849,310.57000,0.74200,,,,,0.02705,525.06000,,,,0.07135,50.00000,0.01665,50.00000,,,,,,,,,1
371,,,8,0,27.14850,,105.04000,,0.04929,200.27000,0.42000,,,,,0.01159,635.05000,,,,0.02650,50.00000,0.04636,50.00000,,,,,,,,,1
372,,,8,1,8.83890,,103.03000,,0.07780,123.27000,0.65900,,,,,0.02628,315.87000,,,,0.02285,50.00000,0.03315,50.00000,,,,,,,,,1
373,,,8,1,4.56570,,99.16000,,0.09061,285.58000,0.73900,,,,,0.00001,89.40000,,,,0.04797,50.00000,0.00001,50.00000,,,,,,,,,1
382,,,9,1,4.50990,,97.46000,,0.07248,178.35000,0.60200,,,,,0.02925,220.16000,,,,0.04750,50.00000,0.07999,50.00000,,,,,,,,,1
383,,,9,1,6.56010,,100.95000,,0.07646,319.72000,0.60900,,,,,0.02290,510.98000,,,,0.02000,50.00000,0.01200,50.00000,,,,,,,,,1
391,,,10,0,15.11550,,108.20000,,0.04500,224.39000,0.38700,,,,,0.01591,665.45000,,,,0.03001,50.00000,0.02026,50.00000,,,,,,,,,1
392,,,10,1,11.43630,,102.36000,,0.08293,155.33000,0.68200,,,,,0.02866,396.25000,,,,0.01200,50.00000,0.03287,50.00000,,,,,,,,,1
393,,,10,1,10.74240,,103.59000,,0.06732,269.28000,0.55000,,,,,0.02940,407.65000,,,,0.02388,50.00000,0.04236,50.00000,,,,,,,,,1
401,,,11,0,16.28910,,111.79000,,0.05650,254.85000,0.48200,,,,,0.02004,571.96000,,,,0.02886,50.00000,0.03152,50.00000,,,,,,,,,1
402,,,11,1,21.09780,,106.39000,,0.05760,194.85000,0.48300,,,,,0.02401,561.59000,,,,0.03651,50.00000,0.02386,50.00000,,,,,,,,,1
403,,,11,1,32.89410,,104.03000,,0.06185,321.68000,0.51500,,,,,0.02094,681.93000,,,,0.04541,50.00000,0.03893,50.00000,,,,,,,,,1
412,,,12,1,24.46200,,96.40000,,0.06798,220.78000,0.57900,,,,,0.02402,635.54000,,,,0.04036,50.00000,0.02933,50.00000,,,,,,,,,1
413,,,12,1,23.89140,,97.80000,,0.07387,22.08000,0.61800,,,,,0.02151,576.45000,,,,0.02767,50.00000,0.01633,50.00000,,,,,,,,,1
422,,,13,1,21.87900,,100.38000,,0.05308,191.97000,0.44500,,,,,0.01921,692.26000,,,,0.01969,50.00000,0.02631,50.00000,,,,,,,,,1
423,,,13,1,8.40060,,98.03000,,0.06216,338.87000,0.52800,,,,,0.02440,503.26000,,,,0.04125,50.00000,0.05908,50.00000,,,,,,,,,1
432,,,14,1,74.52540,,106.70000,,0.07259,175.97000,0.60300,,,,,0.02554,873.95000,,,,0.04236,50.00000,0.02942,50.00000,,,,,,,,,1
433,,,14,1,54.63000,,107.78000,,0.09782,324.58000,0.83100,,,,,0.03385,609.06000,,,,0.02768,50.00000,0.03002,50.00000,,,,,,,,,1
441,,,15,0,17.68410,,113.84000,,0.10167,178.47000,0.84500,,,,,0.02591,729.54000,,,,0.03788,50.00000,0.03615,50.00000,,,,,,,,,1
442,,,15,1,0.25920,,103.69000,,0.15443,133.43000,1.23200,,,,,0.00001,0.00000,,,,0.05500,50.00000,0.17249,11.31000,,,,,,,,,1
443,,,15,1,0.42120,,104.35000,,0.09773,256.35000,0.79600,,,,,0.21074,13.76000,,,,0.04753,50.00000,0.01847,50.00000,,,,,,,,,1
452,,,16,1,15.22080,,110.68000,,0.06937,218.73000,0.57400,,,,,0.03256,500.24000,,,,0.04768,50.00000,0.04953,50.00000,,,,,,,,,1
453,,,16,1,9.10980,,110.77000,,0.08570,17.03000,0.70300,,,,,0.03229,564.91000,,,,0.02002,50.00000,0.02318,50.00000,,,,,,,,,1
461,,,17,0,15.54570,,120.52000,,0.06299,216.97000,0.52200,,,,,0.01641,594.91000,,,,0.03553,50.00000,0.04122,50.00000,,,,,,,,,1
