Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
1,OUTLET,,85.61000,0.00024,,,,0.00000,,,,,,,,,,,,,,,,,,,1
2,1,,85.61000,0.00024,,,,411.29000,,,,,,,,,,,,,,,,,,,1
3,2,,86.12000,0.00349,,,,258.46000,,,,,,,,,,,,,,,,,,,1
4,3,,89.21000,0.02693,,,,137.40000,,,,,,,,,,,,,,,,,,,1
5,3,,87.26000,0.00564,,,,177.55000,,,,,,,,,,,,,,,,,,,1
6,5,,91.26000,0.01593,,,,464.56000,,,,,,,,,,,,,,,,,,,1
7,5,,88.53000,0.00424,,,,377.43000,,,,,,,,,,,,,,,,,,,1
8,7,,93.85000,0.01847,,,,536.17000,,,,,,,,,,,,,,,,,,,1
9,7,,90.66000,0.01957,,,,301.58000,,,,,,,,,,,,,,,,,,,1
10,9,,96.90000,0.00904,,,,719.38000,,,,,,,,,,,,,,,,,,,1
11,9,,97.28000,0.00786,,,,1044.23000,,,,,,,,,,,,,,,,,,,1
12,2,,87.70000,0.00745,,,,993.57000,,,,,,,,,,,,,,,,,,,1
13,12,,93.10000,0.00001,,,,488.43000,,,,,,,,,,,,,,,,,,,1
14,13,,95.30000,0.00299,,,,2076.16000,,,,,,,,,,,,,,,,,,,1
15,14,,100.89000,0.01752,,,,125.61000,,,,,,,,,,,,,,,,,,,1
16,14,,100.94000,0.00460,,,,565.40000,,,,,,,,,,,,,,,,,,,1
17,16,,106.19000,0.01044,,,,1092.57000,,,,,,,,,,,,,,,,,,,1
18,16,,105.64000,0.01289,,,,504.68000,,,,,,,,,,,,,,,,,,,1
19,13,,93.16000,0.00101,,,,393.20000,,,,,,,,,,,,,,,,,,,1
20,19,,94.94000,0.00637,,,,439.49000,,,,,,,,,,,,,,,,,,,1
21,20,,101.92000,0.01452,,,,798.84000,,,,,,,,,,,,,,,,,,,1
22,20,,99.64000,0.03615,,,,254.52000,,,,,,,,,,,,,,,,,,,1
23,19,,96.51000,0.02433,,,,287.74000,,,,,,,,,,,,,,,,,,,1
24,12,,95.09000,0.00982,,,,631.57000,,,,,,,,,,,,,,,,,,,1
